Bydel nr & navn;bydel_nr;"Bydel
navn";botid_3.alle;botid_3.alle;botid_3.alle;botid_3.0-4;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.5+;botid_3.alle;botid_3.alle;botid_3.alle;botid_3.0-4;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.5+
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0301 Oslo;301;Oslo;85579;38235;47344;28351;19280;9071;57228;18955;38273;64,5;76,7;57,2;65,7;74,6;52,4;64;79,1;58,5
030101 Gamle Oslo;30101;Gamle Oslo;7642;3389;4253;2756;1858;898;4886;1531;3355;60,9;78;51,8;69,2;77,7;56,5;57;78,4;50,7
030102 Grünerløkka;30102;Grünerløkka;8722;4735;3987;3931;2855;1076;4791;1880;2911;66,6;79;56,2;73,1;79,3;60,5;62,2;78,7;54,7
030103 Sagene;30103;Sagene;4375;2350;2025;1709;1240;469;2666;1110;1556;62,4;78,3;50,5;69,3;76,9;55;58,7;80;49,3
030104 St. Hanshaugen;30104;St. Hanshaugen;5320;3359;1961;2678;1999;679;2642;1360;1282;71,4;79,3;60,9;74,6;79,4;63,3;68,4;79,3;59,7
030105 Frogner;30105;Frogner;8266;5619;2647;4435;3402;1033;3831;2217;1614;72,3;80,3;59,7;74,9;81,6;58,8;69,6;78,5;60,3
030106 Ullern;30106;Ullern;2822;1800;1022;1043;734;309;1779;1066;713;71,2;79,5;60,1;64,3;75,4;47,6;76;82,6;67,8
030107 Vestre Aker;30107;Veste Aker;3729;2498;1231;1372;993;379;2357;1505;852;67,2;78,1;52,4;57,8;73,3;37,2;74,3;81,7;64,1
030108 Nordre Aker;30108;Nordre Aker;4064;2295;1769;1669;988;681;2395;1307;1088;64,8;74,2;55,6;56;64,5;46,9;72,8;83,7;62,9
030109 Bjerke;30109;Bjerke;5151;1674;3477;1412;806;606;3739;868;2871;64,1;75,8;59,6;64,6;71,2;57,5;63,9;80,6;60,1
030110 Grorud;30110;Grorud;4801;1010;3791;822;391;431;3979;619;3360;64,4;74,4;62,2;61,1;69,9;54,8;65,2;77,6;63,3
030111 Stovner;30111;Stovner;5564;1105;4459;969;524;445;4595;581;4014;61,9;76,3;59,2;59,1;74,2;47,6;62,6;78,2;60,8
030112 Alna;30112;Alna;8759;1780;6979;1497;739;758;7262;1041;6221;62,5;75,8;59,8;60,7;74,6;51,3;62,9;76,7;61
030113 Østensjø;30113;Østensjø;4689;1729;2960;1028;610;418;3661;1119;2542;66,7;79,8;60,9;64,1;75,2;52,7;67,5;82,5;62,5
030114 Nordstrand;30114;Nordstrand;3800;2289;1511;1152;890;262;2648;1399;1249;69,8;79,8;58,6;64,1;75,8;42;72,6;82,6;63,9
030115 Søndre Nordstrand;30115;Søndre Nordstrand;6364;1618;4746;1037;599;438;5327;1019;4308;60,4;75,3;56,5;57,8;69,1;47,2;60,9;79,4;57,7
030116 Sentrum;30116;Sentrum;36;14;22;15;9;6;21;5;16;67,9;66,7;68,8;62,5;60;66,7;72,4;83,3;69,6
030117 Marka;30117;Marka;92;76;16;41;36;5;51;40;11;73;78,4;55,2;67,2;75;38,5;78,5;81,6;68,8
030199 Uoppgitt bydel Oslo;30199;Uoppgitt bydel Oslo;1383;895;488;785;607;178;598;288;310;38,3;43,8;31,1;40,9;43,4;34,1;35,3;44,6;29,6
