Fylke nr & navn;fylke_nr;"Fylke
navn";botid_3.alle;botid_3.alle;botid_3.alle;botid_3.0-4;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.5+;botid_3.alle;botid_3.alle;botid_3.alle;botid_3.0-4;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.5+
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;0;Hele landet;349803;194395;155408;128000;94630;33370;221803;99765;122038;66,8;76,7;57,5;62,6;73,3;44,2;69,5;80,2;62,7
01 Østfold;1;Østfold;16133;8626;7507;4663;3671;992;11470;4955;6515;60,3;73,3;50,1;59,5;71;37,2;60,7;75,1;52,9
02 Akershus;2;Akershus;46519;25984;20535;13952;10418;3534;32567;15566;17001;69,7;77;62,2;62;70,5;45,6;73,7;82,1;67,4
03 Oslo;3;Oslo;85579;38235;47344;28351;19280;9071;57228;18955;38273;64,5;76,7;57,2;65,7;74,6;52,4;64;79,1;58,5
04 Hedmark;4;Hedmark;7014;4276;2738;2484;1863;621;4530;2413;2117;61,1;72,2;49,2;53,6;68,2;32,6;66,1;75,7;57,8
05 Oppland;5;Oppland;7310;4493;2817;2795;2147;648;4515;2346;2169;64,1;75,9;51,4;55,5;72;31,5;71;79,8;63,4
06 Buskerud;6;Buskerud;20455;11599;8856;6895;5354;1541;13560;6245;7315;67,4;77,5;57,6;63;73,2;42,5;69,9;81,6;62,3
07 Vestfold;7;Vestfold;12986;7827;5159;4216;3372;844;8770;4455;4315;66;75,9;55,1;61,7;72,3;38,9;68,3;78,8;60,1
08 Telemark;8;Telemark;7505;3933;3572;2218;1621;597;5287;2312;2975;60,1;72,5;50,6;48,6;67,3;27,7;66,7;76,6;60,7
09 Aust-Agder;9;Aust-Agder;5275;3240;2035;1763;1339;424;3512;1901;1611;63,1;73,1;51,8;55,2;69,7;33,3;67,9;75,7;60,6
10 Vest-Agder;10;Vest-Agder;9673;4957;4716;2789;1999;790;6884;2958;3926;63,6;75;54,8;54,6;72,6;33,6;68,1;76,8;62,8
11 Rogaland;11;Rogaland;37727;23152;14575;16035;12031;4004;21692;11121;10571;72,7;79,7;63,7;68,8;76,9;52,2;75,8;83;69,5
12 Hordaland;12;Hordaland;31518;19376;12142;13414;10323;3091;18104;9053;9051;68,7;76,3;59,3;63,5;71,8;45,8;73,2;82,2;66
14 Sogn og Fjordane;14;Sogn og Fjordane;5325;3846;1479;2588;2163;425;2737;1683;1054;71,3;79,8;55,8;63,9;77,3;34;80,1;83,3;75,4
15 Møre og Romsdal;15;Møte og Romsdal;14666;10199;4467;7229;6016;1213;7437;4183;3254;72,1;78,8;60,6;66,8;76,5;41;78,3;82,3;73,7
16 Sør-Trøndelag;16;Sør-Trøndelag;16296;9427;6869;6831;4929;1902;9465;4498;4967;66,9;75,9;57,5;60,1;71,2;42,8;72,8;81,9;66,1
17 Nord-Trøndelag;17;Nord-Trøndelag;4203;2543;1660;1794;1245;549;2409;1298;1111;63,9;75,8;51,5;54,1;71,9;34,6;73,9;80;67,9
18 Nordland;18;Nordland;8965;5222;3743;4196;2899;1297;4769;2323;2446;64,1;76,2;52,5;55,6;74,9;35,3;74,1;78;70,7
19 Troms Romsa;19;Troms Romsa;7763;4601;3162;3440;2344;1096;4323;2257;2066;68,4;76,7;59,1;60,5;74,6;43,1;76,3;78,9;73,6
20 Finnmark Finnmárku;20;Finnmark Finnmárku;4891;2859;2032;2347;1616;731;2544;1243;1301;71;75,7;65,3;66,1;75,4;51,9;76,2;76;76,4
99 Uoppgitt fylke;99;Uoppgitt fylke;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
