"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";botid_3.alle;botid_3.alle;botid_3.alle;botid_3.0-4;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.5+;botid_3.alle;botid_3.alle;botid_3.alle;botid_3.0-4;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.5+
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1;Halden;1316;723;593;379;292;87;937;431;506;56,4;69,7;45,7;59,8;70,2;39,9;55,1;69,3;46,9
02 Indre Østfold;2;Indre Østfold;3557;2112;1445;1170;958;212;2387;1154;1233;64,1;73,5;54;61,7;71,9;37,7;65,4;74,9;58,4
03 Mosseregionen;3;Mosseregionen;3552;1966;1586;1034;769;265;2518;1197;1321;62,2;72,9;52,6;59,6;67,7;44,3;63,3;76,7;54,7
04 Nedre Glomma;4;Nedre Glomma;7708;3825;3883;2080;1652;428;5628;2173;3455;58,6;74,1;48,5;58,1;72,2;33,2;58,7;75,7;51,5
05 Akershus Vest;5;Akershus Vest;15925;9403;6522;4761;3389;1372;11164;6014;5150;70,1;77,7;61,6;60,5;70,3;45;75,3;82,5;68,3
06 Follo;6;Follo;9255;5348;3907;2532;1782;750;6723;3566;3157;69,4;77;61,1;58,8;68,6;43,9;74,4;81,9;67,4
07 Nedre Romerike;7;Nedre Romerike;14529;7101;7428;4129;3196;933;10400;3905;6495;69;76,3;63,2;62,8;70,5;45,8;71,8;81,8;66,9
08 Øvre Romerike;8;Øvre Romerike;6810;4132;2678;2530;2051;479;4280;2081;2199;70,8;77,1;63;67;72,7;50,2;73,3;81,9;66,7
09 Oslo;9;Oslo;85579;38235;47344;28351;19280;9071;57228;18955;38273;64,5;76,7;57,2;65,7;74,6;52,4;64;79,1;58,5
10 Fjellregionen;10;Fjellregionen;562;410;152;256;219;37;306;191;115;69,1;79;51,7;61;76;28;77,9;82,7;71
11 Glåmdal;11;Glåmdal;1658;996;662;484;376;108;1174;620;554;57,8;69,5;46,1;48,8;67,5;24,9;62,5;70,7;55,3
12 Hamarregionen;12;Hamarregionen;3544;2092;1452;1288;930;358;2256;1162;1094;63,5;73,8;52,9;57,4;68,5;40,3;67,6;78,7;58,9
13 Sør Østerdal;13;Sør Østerdal;1250;778;472;456;338;118;794;440;354;56,2;68,7;43,2;46,6;64;26,2;63,7;72,8;55,1
14 Gjøvikregionen;14;Gjøvikregionen;2775;1564;1211;1016;777;239;1759;787;972;63,3;76,4;51,8;55,9;72,5;32;68,6;80,6;61,2
15 Hadeland;15;Hadeland;1080;661;419;395;293;102;685;368;317;62,5;73,9;50,3;50,9;68,3;29,4;72;79,1;65,2
16 Lillehammerregionen;16;Lillehammerregionen;1745;990;755;576;426;150;1169;564;605;67,7;76;59,1;59,1;70,9;40,2;72,8;80,5;66,9
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;475;383;92;220;193;27;255;190;65;67,6;79,6;41,4;64,7;80,1;27,3;70,2;79,2;52,8
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;485;338;147;233;177;56;252;161;91;59,7;74,6;40,9;49,8;71,4;25,5;73,3;78,5;65,5
19 Valdres;19;Valdres;750;557;193;355;281;74;395;276;119;62,7;74,9;42,6;53,6;72,1;27,2;73,8;78;65,7
