Bydel nr & navn;bydel_nr;"Bydel
navn";kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.0;kjonn.0;kjonn.1;kjonn.1;kjonn.1;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.0;kjonn.0;kjonn.1;kjonn.1;kjonn.1
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0301 Oslo;301;Oslo;85579;38235;47344;48843;22645;26198;36736;15590;21146;64,5;76,7;57,2;69,7;78,1;63,8;58,7;74,8;50,7
030101 Gamle Oslo;30101;Gamle Oslo;7642;3389;4253;4567;2049;2518;3075;1340;1735;60,9;78;51,8;65,8;79,4;57,8;54,8;75,9;45,1
030102 Grünerløkka;30102;Grünerløkka;8722;4735;3987;5207;2887;2320;3515;1848;1667;66,6;79;56,2;70,3;80,5;60,7;61,9;76,8;50,9
030103 Sagene;30103;Sagene;4375;2350;2025;2433;1322;1111;1942;1028;914;62,4;78,3;50,5;64,6;78,9;53,2;59,8;77,6;47,6
030104 St. Hanshaugen;30104;St. Hanshaugen;5320;3359;1961;3072;1952;1120;2248;1407;841;71,4;79,3;60,9;73,1;80,1;63,4;69,1;78,3;57,8
030105 Frogner;30105;Frogner;8266;5619;2647;4536;3169;1367;3730;2450;1280;72,3;80,3;59,7;76,8;82,5;66,2;67,5;77,7;54
030106 Ullern;30106;Ullern;2822;1800;1022;1477;1000;477;1345;800;545;71,2;79,5;60,1;77,1;81,5;69,3;65,6;77,1;53,8
030107 Vestre Aker;30107;Veste Aker;3729;2498;1231;1892;1386;506;1837;1112;725;67,2;78,1;52,4;75,7;80,6;65;60,2;75,2;46,1
030108 Nordre Aker;30108;Nordre Aker;4064;2295;1769;2209;1258;951;1855;1037;818;64,8;74,2;55,6;69;76,8;60,9;60,4;71,4;50,5
030109 Bjerke;30109;Bjerke;5151;1674;3477;3137;1134;2003;2014;540;1474;64,1;75,8;59,6;71;80,1;66,7;55,6;68,1;52,1
030110 Grorud;30110;Grorud;4801;1010;3791;2667;618;2049;2134;392;1742;64,4;74,4;62,2;70,3;78;68,2;58,4;69,4;56,4
030111 Stovner;30111;Stovner;5564;1105;4459;3331;743;2588;2233;362;1871;61,9;76,3;59,2;71,1;78;69,3;52;72,8;49,2
030112 Alna;30112;Alna;8759;1780;6979;5016;1118;3898;3743;662;3081;62,5;75,8;59,8;70,1;79;68;54,5;71;51,9
030113 Østensjø;30113;Østensjø;4689;1729;2960;2548;1008;1540;2141;721;1420;66,7;79,8;60,9;72,9;82,3;67,9;60,6;76,5;54,8
030114 Nordstrand;30114;Nordstrand;3800;2289;1511;2062;1332;730;1738;957;781;69,8;79,8;58,6;74,8;81,2;65,4;64,7;78;53,5
030115 Søndre Nordstrand;30115;Søndre Nordstrand;6364;1618;4746;3645;985;2660;2719;633;2086;60,4;75,3;56,5;68,9;78,4;66;51,7;70,8;47,8
030116 Sentrum;30116;Sentrum;36;14;22;20;10;10;16;4;12;67,9;66,7;68,8;66,7;71,4;62,5;69,6;57,1;75
030117 Marka;30117;Marka;92;76;16;51;46;5;41;30;11;73;78,4;55,2;78,5;80,7;62,5;67,2;75;52,4
030199 Uoppgitt bydel Oslo;30199;Uoppgitt bydel Oslo;1383;895;488;973;628;345;410;267;143;38,3;43,8;31,1;38,4;41,4;34;37,9;50,7;25,8
