"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.0;kjonn.0;kjonn.1;kjonn.1;kjonn.1;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.0;kjonn.0;kjonn.1;kjonn.1;kjonn.1
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1;Halden;1316;723;593;709;425;284;607;298;309;56,4;69,7;45,7;60,8;73,8;48,1;51,9;64,5;43,7
02 Indre Østfold;2;Indre Østfold;3557;2112;1445;2058;1348;710;1499;764;735;64,1;73,5;54;70,1;77,1;59,9;57,3;67,9;49,4
03 Mosseregionen;3;Mosseregionen;3552;1966;1586;2010;1229;781;1542;737;805;62,2;72,9;52,6;65,6;73,5;56,1;58,3;72;49,6
04 Nedre Glomma;4;Nedre Glomma;7708;3825;3883;4442;2477;1965;3266;1348;1918;58,6;74,1;48,5;63,8;77,9;51,9;52,8;68;45,6
05 Akershus Vest;5;Akershus Vest;15925;9403;6522;8858;5614;3244;7067;3789;3278;70,1;77,7;61,6;75,8;79,6;70;64,1;75;55
06 Follo;6;Follo;9255;5348;3907;5058;3111;1947;4197;2237;1960;69,4;77;61,1;72,9;78;65,9;65,5;75,5;57
07 Nedre Romerike;7;Nedre Romerike;14529;7101;7428;8376;4554;3822;6153;2547;3606;69;76,3;63,2;73,6;76,6;70,3;63,6;75,8;57,1
08 Øvre Romerike;8;Øvre Romerike;6810;4132;2678;3878;2647;1231;2932;1485;1447;70,8;77,1;63;75,8;80;68,2;65,2;72,4;59,1
09 Oslo;9;Oslo;85579;38235;47344;48843;22645;26198;36736;15590;21146;64,5;76,7;57,2;69,7;78,1;63,8;58,7;74,8;50,7
10 Fjellregionen;10;Fjellregionen;562;410;152;294;235;59;268;175;93;69,1;79;51,7;71,9;81;49,6;66,3;76,4;53,1
11 Glåmdal;11;Glåmdal;1658;996;662;860;573;287;798;423;375;57,8;69,5;46,1;61,4;72,5;47;54,4;65,7;45,5
12 Hamarregionen;12;Hamarregionen;3544;2092;1452;1980;1282;698;1564;810;754;63,5;73,8;52,9;68,2;77,7;55,6;58,5;68,4;50,6
13 Sør Østerdal;13;Sør Østerdal;1250;778;472;627;416;211;623;362;261;56,2;68,7;43,2;55,2;69,4;39,4;57,2;67,9;46,9
14 Gjøvikregionen;14;Gjøvikregionen;2775;1564;1211;1547;972;575;1228;592;636;63,3;76,4;51,8;67,6;79,6;53,8;58,6;71,7;50,2
15 Hadeland;15;Hadeland;1080;661;419;610;420;190;470;241;229;62,5;73,9;50,3;67,3;77,9;51,6;57,3;67,9;49,2
16 Lillehammerregionen;16;Lillehammerregionen;1745;990;755;950;572;378;795;418;377;67,7;76;59,1;70,9;76,4;64;64,2;75,6;55
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;475;383;92;279;241;38;196;142;54;67,6;79,6;41,4;71,2;80,9;40,4;63;77,6;42,2
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;485;338;147;265;215;50;220;123;97;59,7;74,6;40,9;60,9;77,9;31,4;58,4;69,5;48,5
19 Valdres;19;Valdres;750;557;193;393;315;78;357;242;115;62,7;74,9;42,6;58,9;74,3;32,1;67,4;75,6;54,8
