Bydel nr & navn;bydel_nr;"Bydel
navn";innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0301 Oslo;301;Oslo;14633;5617;9016;2536;6480;4,3;2,3;9,8;6,3;12,6
030101 Gamle Oslo;30101;Gamle Oslo;1516;512;1004;261;743;5,3;2,5;11,9;7,2;15,5
030102 Grünerløkka;30102;Grünerløkka;1532;584;948;344;604;4,6;2,4;10,1;6,8;13,9
030103 Sagene;30103;Sagene;830;359;471;144;327;3,4;1,8;9,9;5,8;14,4
030104 St. Hanshaugen;30104;St. Hanshaugen;793;343;450;195;255;3,4;2;8;5,4;12,4
030105 Frogner;30105;Frogner;1135;575;560;242;318;3,5;2,4;6,6;4,1;11,8
030106 Ullern;30106;Ullern;401;208;193;93;100;2,6;1,6;6,5;4,9;9,5
030107 Vestre Aker;30107;Veste Aker;571;273;298;153;145;2,6;1,5;7,6;5,8;11,2
030108 Nordre Aker;30108;Nordre Aker;623;316;307;110;197;2,5;1,5;7,3;4,7;10,7
030109 Bjerke;30109;Bjerke;852;218;634;148;486;5,6;2,3;11,1;8,2;12,5
030110 Grorud;30110;Grorud;858;248;610;106;504;6,6;3,2;11,3;9,6;11,8
030111 Stovner;30111;Stovner;979;256;723;92;631;7,1;3,3;12;7,6;13,1
030112 Alna;30112;Alna;1346;357;989;155;834;5,8;2,6;10,3;8;10,9
030113 Østensjø;30113;Østensjø;842;348;494;131;363;3,4;1,8;9,6;6,9;11,1
030114 Nordstrand;30114;Nordstrand;704;363;341;143;198;2,9;1,8;8,5;6,1;12
030115 Søndre Nordstrand;30115;Søndre Nordstrand;1159;346;813;153;660;6,8;3,4;12;8,8;13
030116 Sentrum;30116;Sentrum; : ; : ; : ; : ; : ; : ; : ; : ; : ; : 
030117 Marka;30117;Marka; : ; : ; : ; : ; : ; : ; : ; : ; : ; : 
030199 Uoppgitt bydel Oslo;30199;Uoppgitt bydel Oslo;467;291;176;64;112;0;0;0;0;0
