Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;651;439;212;52;160;4,8;3,6;14,3;6,7;22,7
0104 Moss;104;Moss;669;361;308;86;222;4,6;3;12,8;7,7;17,4
0105 Sarpsborg;105;Sarpsborg;1235;659;576;165;411;5;3,1;15,9;10;20,9
0106 Fredrikstad;106;Fredrikstad;2020;1105;915;216;699;5,5;3,5;18;8,6;27
0111 Hvaler;111;Hvaler;53;48;5;4;1;2,7;2,6;5,1;5,9;3,3
0118 Aremark;118;Aremark;25;21; : ; : ; : ;4;3,5; : ; : ; : 
0119 Marker;119;Marker;60;40;20;9;11;4;2,9;15,9;11,2;24,3
0121 Rømskog;121;Rømskog;10;9; : ; : ; : ;3,2;3,2; : ; : ; : 
0122 Trøgstad;122;Trøgstad;82;55;27;12;15;3,4;2,5;10,7;6,1;27
0123 Spydeberg;123;Spydeberg;79;56;23;7;16;3;2,4;8,2;4,7;12
0124 Askim;124;Askim;324;165;159;49;110;4,5;2,8;12,3;9;14,8
0125 Eidsberg;125;Eidsberg;273;145;128;42;86;5,3;3,3;16,5;9,3;26,5
0127 Skiptvet;127;Skiptvet;50;29;21;13;8;2,9;1,9;10;8,5;13,9
0128 Rakkestad;128;Rakkestad;155;86;69;29;40;4,4;2,8;14,8;10,1;22,4
0135 Råde;135;Råde;124;82;42;31;11;3,6;2,7;11,7;11,4;13
0136 Rygge;136;Rygge;229;164;65;35;30;3,2;2,6;7,9;7;9,3
0137 Våler (Østfold);137;Våler (Østf.);81;55;26;23;3;3,2;2,5;8;9,2;4,1
0138 Hobøl;138;Hobøl;87;53;34;22;12;3,3;2,4;7,8;6,7;11,3
0211 Vestby;211;Vestby;269;169;100;38;62;3,4;2,5;8,4;5,8;11,5
0213 Ski;213;Ski;532;293;239;75;164;3,6;2,3;10,5;6,5;14,6
0214 Ås;214;Ås;252;130;122;47;75;2,8;1,8;6,6;4,9;8,5
0215 Frogn;215;Frogn;173;117;56;27;29;2,3;1,7;6,5;4,6;10,4
0216 Nesodden;216;Nesodden;270;196;74;37;37;3,1;2,6;6;4,2;10,4
0217 Oppegård;217;Oppegård;301;177;124;50;74;2,3;1,5;7,1;5;9,9
0219 Bærum;219;Bærum;1355;658;697;304;393;2,3;1,4;6,2;4,6;8,3
0220 Asker;220;Asker;721;347;374;168;206;2,5;1,5;6,9;5,1;9,7
0221 Aurskog Høland;221;Aurskog-Høland;250;175;75;54;21;3,3;2,6;8,7;8;11,7
0226 Sørum;226;Sørum;272;148;124;73;51;3,1;2;8,6;7,8;10,2
0227 Fet;227;Fet;174;100;74;40;34;3;2;8,7;6,8;12,9
0228 Rælingen;228;Rælingen;305;157;148;35;113;3,4;2,1;8,6;4,7;11,6
0229 Enebakk;229;Enebakk;190;130;60;35;25;3,5;2,8;8;7,5;8,8
0230 Lørenskog;230;Lørenskog;605;285;320;102;218;3,4;2;8,3;6,2;9,8
0231 Skedsmo;231;Skedsmo;910;432;478;110;368;3,4;2;8,9;5,1;11,3
0233 Nittedal;233;Nittedal;258;172;86;42;44;2,2;1,7;5,2;4,3;6,6
0234 Gjerdrum;234;Gjerdrum;71;41;30;17;13;2,2;1,5;6,3;4,5;13,4
0235 Ullensaker;235;Ullensaker;668;358;310;123;187;4;2,6;9,2;6,9;11,9
0236 Nes (Akershus);236;Nes (Ak.);364;249;115;50;65;3,6;2,7;10,4;7;16,5
0237 Eidsvoll;237;Eidsvoll;419;270;149;65;84;3,7;2,7;10,6;7,6;15,1
0238 Nannestad;238;Nannestad;188;119;69;39;30;3,1;2,4;6,6;5,6;8,5
0239 Hurdal;239;Hurdal;34;28;6;3;3;2,7;2,5;4,8;3,4;8,3
0301 Oslo;301;Oslo kommune;14633;5617;9016;2536;6480;4,3;2,3;9,8;6,3;12,6
0402 Kongsvinger;402;Kongsvinger;316;208;108;26;82;4,1;3;13;6,5;19
0403 Hamar;403;Hamar;498;321;177;40;137;3,5;2,5;12,1;6;17,1
0412 Ringsaker;412;Ringsaker;523;368;155;75;80;3,3;2,5;11,1;7,9;18
0415 Løten;415;Løten;145;112;33;18;15;4;3,3;13,4;11,6;16,6
0417 Stange;417;Stange;341;263;78;20;58;3,6;3,1;10,1;4,5;17,5
0418 Nord-Odal;418;Nord-Odal;64;51;13;7;6;2,8;2,4;12,3;9,2;20,4
0419 Sør-Odal;419;Sør-Odal;138;118;20;13;7;3,7;3,3;8,5;8,4;8,6
0420 Eidskog;420;Eidskog;142;113;29;13;16;5,4;4,6;14,9;9,7;26,2
0423 Grue;423;Grue;71;60;11;3;8;3,5;3,2;6,9;2,9;14,1
0425 Åsnes;425;Åsnes;142;121;21;15;6;4,5;4,1;11,1;13,7;7,6
0426 Våler (Hedm.);426;Våler (Hedm.);62;46;16;9;7;3,7;3;13,2;9,7;24,7
0427 Elverum;427;Elverum;263;186;77;21;56;2,6;2;9,6;5,4;13,6
0428 Trysil;428;Trysil;168;124;44;24;20;5,9;4,8;15,9;10,4;43,1
0429 Åmot;429;Åmot;65;51;14;10;4;3,1;2,6;9,9;8,7;15,4
0430 Stor-Elvdal;430;Stor-Elvdal;28;23;5;3;2;2,6;2,4;4,6;4,7;4,5
0432 Rendalen;432;Rendalen;15;14; : ; : ; : ;2;1,9; : ; : ; : 
0434 Engerdal;434;Engerdal;23;22; : ; : ; : ;4;4,1; : ; : ; : 
0436 Tolga;436;Tolga;20;15;5;1;4;2,8;2,3;7,7;2,2;20,8
0437 Tynset;437;Tynset;46;34;12;8;4;1,8;1,5;4,4;4;5,4
0438 Alvdal;438;Alvdal;14;13; : ; : ; : ;1,2;1,2; : ; : ; : 
0439 Folldal;439;Folldal;17;15; : ; : ; : ;2,6;2,5; : ; : ; : 
0441 Os (Hedm.);441;Os (Hedm.);25;16;9;5;4;2,8;2;9,6;7;17,7
0501 Lillehammer;501;Lillehammer;333;223;110;30;80;2,5;1,8;8,1;4,3;11,9
0502 Gjøvik;502;Gjøvik;423;290;133;48;85;3;2,3;8,2;6,1;10,2
0511 Dovre;511;Dovre;49;37;12;7;5;4;3,3;11,8;9,7;17
0512 Lesja;512;Lesja;14;10;4;3;1;1,5;1,2;5,4;4,3;22,1
0513 Skjåk;513;Skjåk;25;19;6;2;4;2,5;2,1;8,3;4,2;16,1
0514 Lom;514;Lom;30;29; : ; : ; : ;2,8;2,9; : ; : ; : 
0515 Vågå;515;Vågå;42;32;10;1;9;2,6;2,1;14,2;2,5;29,4
0516 Nord-Fron;516;Nord-Fron;60;52;8;6;2;2,3;2,1;5,5;5,4;5,9
0517 Sel;517;Sel;87;72;15;10;5;3,3;2,8;11,9;13,2;10
0519 Sør-Fron;519;Sør-Fron;59;45;14;8;6;4,1;3,5;10,2;7,3;22,1
0520 Ringebu;520;Ringebu;44;30;14;6;8;2,3;1,7;7,3;3,7;26,2
0521 Øyer;521;Øyer;82;49;33;14;19;3,3;2,2;12;7,9;19,5
0522 Gausdal;522;Gausdal;65;52;13;9;4;2,2;1,9;6,6;6,6;6,7
0528 Østre Toten;528;Østre Toten;206;146;60;33;27;3;2,3;10,3;7,9;16,4
0529 Vestre Toten;529;Vestre Toten;160;118;42;11;31;2,6;2,1;9,4;4,7;14,8
0532 Jevnaker;532;Jevnaker;91;74;17;8;9;3;2,6;6,4;4,3;11
0533 Lunner;533;Lunner;137;78;59;18;41;3,1;1,9;15;7,7;25,7
