"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1;Halden;651;439;212;52;160;4,8;3,6;14,3;6,7;22,7
02 Indre Østfold;2;Indre Østfold;1145;659;486;186;300;4,1;2,8;12,5;8,3;18,1
03 Mosseregionen;3;Mosseregionen;1103;662;441;175;266;4;2,8;11,3;8,2;15,2
04 Nedre Glomma;4;Nedre Glomma;3308;1812;1496;385;1111;5,2;3,3;17;9,1;24,2
05 Akershus Vest;5;Akershus Vest;2076;1005;1071;472;599;2,4;1,4;6,4;4,8;8,7
06 Follo;6;Follo;1987;1212;775;309;466;3;2,1;7,8;5,4;11,1
07 Nedre Romerike;7;Nedre Romerike;2774;1469;1305;456;849;3,2;2,1;8,3;5,9;10,5
08 Øvre Romerike;8;Øvre Romerike;1744;1065;679;297;382;3,6;2,6;9;6,6;12,7
09 Oslo;9;Oslo;14633;5617;9016;2536;6480;4,3;2,3;9,8;6,3;12,6
10 Fjellregionen;10;Fjellregionen;137;107;30;16;14;2;1,7;5,3;3,9;8,9
11 Glåmdal;11;Glåmdal;935;717;218;86;132;4;3,4;11,9;8;17,2
12 Hamarregionen;12;Hamarregionen;1507;1064;443;153;290;3,5;2,7;11,4;6,9;17,4
13 Sør Østerdal;13;Sør Østerdal;547;406;141;59;82;3,3;2,7;10,3;7,1;15,4
14 Gjøvikregionen;14;Gjøvikregionen;963;690;273;109;164;3;2,3;9,2;6,6;12,5
15 Hadeland;15;Hadeland;446;290;156;50;106;3,2;2,3;13,3;7,2;22,2
16 Lillehammerregionen;16;Lillehammerregionen;480;324;156;53;103;2,5;1,9;8,5;5,3;12,4
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;163;127;36;20;16;2,7;2,3;7,6;5,2;17,5
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;247;199;48;24;24;2,9;2,5;9,7;7,1;15,3
19 Valdres;19;Valdres;184;112;72;38;34;2,3;1,5;9,4;6,7;17,3
20 Drammensregionen;20;Drammensregionen;3133;1672;1461;547;914;3,5;2,3;9,1;6,4;12,3
21 Hallingdal;21;Hallingdal;245;158;87;55;32;2,4;1,9;5,6;4,6;8,9
22 Kongsberg/Numedal;22;Kongsberg/Numedal;318;198;120;47;73;1,9;1,4;5,3;3,5;7,7
23 Midt-Buskerud;23;Midt-Buskerud;293;224;69;34;35;3,2;2,7;7,9;5,5;13,7
24 Ringerike/Hole;24;Ringerike/Hole;672;461;211;91;120;3,8;3;9,2;6,6;13,2
25 Tønsbergregionen;25;Tønsbergregionen;2318;1574;744;317;427;3,6;2,8;9,5;6,7;13,9
26 Sandefjord/Larvik;26;Sandefjord/Larvik;1672;1067;605;218;387;4;2,9;11,1;7,3;15,9
27 Grenland;27;Grenland;2511;1732;779;216;563;4,4;3,4;13,2;7,9;17,8
28 Midt-Telemark;28;Midt-Telemark;240;159;81;28;53;3,2;2,3;11,3;6,5;18,5
29 Øst-Telemark;29;Øst-Telemark;352;245;107;38;69;3,8;3;11,8;7,4;17,5
30 Vest-Telemark;30;Vest-Telemark;136;100;36;27;9;2;1,7;6;5,8;6,7
31 Setesdal;31;Setesdal;129;92;37;15;22;3,9;3,1;10,2;7;14,6
32 Arendalregionen;32;Arendalregionen;1861;1244;617;283;334;4,4;3,3;13;9,8;18,3
33 Lister;33;Lister;329;226;103;50;53;2;1,5;6,5;4,9;9,2
34 Mandalsregionen;34;Mandalsregionen;296;207;89;38;51;2,6;2;8;5,2;13,4
35 Kristiansandregionen;35;Kristiansandregionen;2409;1511;898;309;589;3,7;2,7;10,4;7,7;12,7
36 Dalane;36;Dalane;255;142;113;59;54;2,1;1,3;8,1;6,6;10,8
37 Haugesundregionen;37;Haugesundregionen;1568;992;576;328;248;3,1;2,2;8,9;7,6;11,7
38 Ryfylke;38;Ryfylke;201;134;67;41;26;1,8;1,4;4,8;4;6,9
39 Stavangerregionen;39;Stavangerregionen;3451;1738;1713;800;913;2,1;1,3;5,5;4,3;7,3
40 Bergen;40;Bergen;3852;2155;1697;632;1065;2,7;1,8;7,6;5,1;10,9
41 Bjørnefjorden;41;Bjørnefjorden;311;204;107;65;42;2,5;1,8;7,7;6,3;11,7
42 Hardanger;42;Hardanger;219;148;71;35;36;2;1,5;5,9;4,3;9,2
43 Voss;43;Voss;139;91;48;22;26;2;1,4;8,9;6,1;14,7
44 Nordhordland;44;Nordhordland;430;295;135;76;59;2,6;2;8,3;6,3;14,3
45 Osterfjorden;45;Osterfjorden;157;110;47;29;18;2,6;2;8,8;7,1;14,3
46 Sunnhordland;46;Sunnhordland;809;514;295;153;142;2,6;1,9;9,1;6,6;15
47 Hordaland Vest;47;Hordaland Vest;858;603;255;120;135;2,7;2,1;8,2;5,7;13,3
48 HAFS;48;HAFS;57;36;21;16;5;1,3;0,9;4,5;4,4;4,7
49 Nordfjord;49;Nordfjord;374;230;144;87;57;2,4;1,7;7,4;5,9;11,9
50 Sogn;50;Sogn;302;213;89;56;33;1,9;1,5;5,5;4,7;7,8
51 Sunnfjord;51;Sunnfjord;308;198;110;40;70;1,8;1,3;6,4;3,7;11,2
52 Nordmøre;52;Nordmøre;732;526;206;112;94;2,5;2;7,2;5,9;9,7
53 Romsdal;53;Romsdal;718;483;235;138;97;2,5;1,9;7,3;6,3;9,6
54 Storfjord;54;Storfjord;233;119;114;82;32;2,7;1,6;8,1;7,5;9,9
55 Søre Sunnmøre;55;Søre Sunnmøre;525;370;155;87;68;2,3;1,9;5,3;4,1;8,3
56 Ålesundregionen;56;Ålesundregionen;1057;609;448;266;182;2,7;1,8;8,4;7,3;11
57 Fosen;57;Fosen;290;234;56;35;21;2,6;2,2;7,2;6,1;10,3
58 Hitra/Frøya;58;Hitra/Frøya;126;64;62;44;18;2,9;2;5,5;4,6;10,2
59 Oppdal/Rennebu;59;Oppdal/Rennebu;103;85;18;15;3;2,5;2,2;5,7;6,3;3,8
60 Orkdalregionen;60;Orkdalregionen;274;204;70;23;47;2,6;2,1;9,8;5,7;15,3
61 Trondheimsregionen;61;Trondheimsregionen;3214;2154;1060;386;674;2,6;1,9;7,3;5;10,1
62 Rørosregionen;62;Rørosregionen;78;62;16;8;8;1,9;1,7;5,2;3,5;9,6
63 Stjørdalsregionen;63;Stjørdalsregionen;344;260;84;34;50;2,6;2,1;8,7;7;10,4
64 Innherred;64;Innherred;914;678;236;114;122;3;2,4;11,2;8,7;15,2
65 Indre Namdal;65;Indre Namdal;72;64;8;4;4;1,9;1,8;3,5;2,3;8
66 Kystgruppen;66;Kystgruppen;118;92;26;14;12;2,7;2,3;7,1;6;9,1
67 Midtre Namdal;67;Midtre Namdal;271;222;49;25;24;2,9;2,5;8,3;7,4;9,5
68 Sør-Helgeland;68;Sør-Helgeland;203;155;48;13;35;3,5;2,8;13,8;6,5;23,8
69 HALD;69;HALD;205;145;60;23;37;3,5;2,8;10,8;7,1;15,9
70 Ytre Helgeland;70;Ytre Helgeland;44;38;6;4;2;2,9;2,8;3,4;2,9;5,4
71 Mosjøregionen;71;Mosjøregionen;173;143;30;10;20;2,2;2;6,6;4,2;9,2
72 Ranaregionen;72;Ranaregionen;368;300;68;20;48;2,4;2,1;6,9;3,6;10,8
73 Salten;73;Salten;1176;934;242;92;150;2,9;2,5;7,6;5,2;10,5
74 Ofoten;74;Ofoten;403;283;120;53;67;3,3;2,6;9,5;7,6;12
