Bydel nr & navn;bydel_nr;"Bydel
navn";innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0301 Oslo;301;Oslo;88461;45349;43112;10886;32226;19,5;14,3;31,7;21,5;37,7
030101 Gamle Oslo;30101;Gamle Oslo;8211;3653;4558;902;3656;21,7;14,7;35,3;20,4;43,1
030102 Grünerløkka;30102;Grünerløkka;7520;3534;3986;1179;2807;17,8;12,3;29,8;19,4;38,5
030103 Sagene;30103;Sagene;5357;3003;2354;570;1784;17,3;12,6;32,9;18,8;43,2
030104 St. Hanshaugen;30104;St. Hanshaugen;4292;2380;1912;800;1112;14,8;11,1;25,1;18,7;33,4
030105 Frogner;30105;Frogner;7307;4372;2935;1304;1631;17,3;14,3;25,3;18,4;36,1
030106 Ullern;30106;Ullern;3255;2201;1054;437;617;15,9;13,4;26,1;19,1;35,3
030107 Vestre Aker;30107;Veste Aker;4945;3257;1688;674;1014;16,4;13,4;29,7;20,7;42
030108 Nordre Aker;30108;Nordre Aker;4442;2887;1555;670;885;13,5;10,9;24,4;21,3;27,3
030109 Bjerke;30109;Bjerke;4377;1729;2648;517;2131;21,4;14,3;31,9;22,9;35,3
030110 Grorud;30110;Grorud;4553;2089;2464;332;2132;25;19,9;31,8;23,7;33,6
030111 Stovner;30111;Stovner;5468;2255;3213;340;2873;26,7;20,2;34,5;22,8;36,7
030112 Alna;30112;Alna;8449;3530;4919;537;4382;25,8;19,3;34;22,5;36,3
030113 Østensjø;30113;Østensjø;5467;3314;2153;407;1746;17,3;13,6;29,7;18,5;34,6
030114 Nordstrand;30114;Nordstrand;5006;3473;1533;533;1000;15,7;13,2;27,3;18,3;37,1
030115 Søndre Nordstrand;30115;Søndre Nordstrand;6375;2468;3907;512;3395;25,1;17,1;35,7;23,2;38,9
030116 Sentrum;30116;Sentrum;14;4;10; : ; : ;10;4,7;18,5; : ; : 
030117 Marka;30117;Marka;171;139;32;21;11;15,1;13,9;24,2;21,2;33,3
030199 Uoppgitt bydel Oslo;30199;Uoppgitt bydel Oslo;3252;1061;2191;1148;1043;49;35,7;59,8;55,7;65
