Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;4962;4022;940;320;620;25;23,2;37,9;29,7;44,3
0104 Moss;104;Moss;5157;3697;1460;391;1069;25;22;38;26,6;45
0105 Sarpsborg;105;Sarpsborg;8904;6723;2181;571;1610;25,1;22,7;37,5;27;43,6
0106 Fredrikstad;106;Fredrikstad;12158;9248;2910;689;2221;23,7;21,3;36,3;22,5;45
0111 Hvaler;111;Hvaler;677;615;62;25;37;23,2;22,5;32,6;23,8;43,5
0118 Aremark;118;Aremark;180;166;14;7;7;20,4;19,6;40;31,8;53,8
0119 Marker;119;Marker;521;454;67;32;35;22,9;21,9;33;26,7;42,2
0121 Rømskog;121;Rømskog;78;73;5;5;0;18,8;19,3;13,2;15,2;0
0122 Trøgstad;122;Trøgstad;750;640;110;64;46;21,2;20,3;28,6;22,8;44,2
0123 Spydeberg;123;Spydeberg;744;608;136;59;77;20,4;18,9;31,6;28,1;34,8
0124 Askim;124;Askim;2495;1774;721;204;517;24,2;21,4;36,2;27,7;41,2
0125 Eidsberg;125;Eidsberg;1675;1277;398;162;236;22,6;20,5;33,2;26;41
0127 Skiptvet;127;Skiptvet;492;413;79;46;33;20,1;19;28,2;24,6;35,5
0128 Rakkestad;128;Rakkestad;1150;900;250;99;151;21,9;20;34,2;26;43,1
0135 Råde;135;Råde;906;754;152;83;69;19,5;18,2;30,5;24,9;41,8
0136 Rygge;136;Rygge;2070;1700;370;154;216;21;19,7;31;24,1;38,8
0137 Våler (Østfold);137;Våler (Østf.);615;488;127;100;27;18,5;16,9;29,1;30,1;25,7
0138 Hobøl;138;Hobøl;680;520;160;77;83;19,3;17,6;27,4;19,8;42,6
0211 Vestby;211;Vestby;1844;1402;442;172;270;17,7;15,9;27,4;21,6;33,2
0213 Ski;213;Ski;3133;2214;919;308;611;16,3;13,8;28,9;21,9;34,5
0214 Ås;214;Ås;1794;1204;590;258;332;14,9;12,7;22,7;21,1;24,1
0215 Frogn;215;Frogn;1781;1444;337;180;157;17,3;15,9;27,1;23;34,1
0216 Nesodden;216;Nesodden;2126;1695;431;222;209;17,4;16,2;24,8;19,9;33,4
0217 Oppegård;217;Oppegård;2611;1907;704;245;459;15,4;13,2;28,5;20,4;36,1
0219 Bærum;219;Bærum;11885;7440;4445;1762;2683;15,5;12,2;27,8;21,4;34,6
0220 Asker;220;Asker;6020;3975;2045;911;1134;15,8;13;27,2;22,1;33,4
0221 Aurskog Høland;221;Aurskog-Høland;1998;1649;349;236;113;19,6;18,3;28,8;26,1;36,7
0226 Sørum;226;Sørum;1790;1327;463;259;204;16,1;14,3;24,8;22,4;28,7
0227 Fet;227;Fet;1203;899;304;176;128;16,2;14,3;26,7;23,8;32
0228 Rælingen;228;Rælingen;1882;1255;627;162;465;16,6;13,9;27,2;18,4;32,7
0229 Enebakk;229;Enebakk;1287;1004;283;152;131;18,1;16,4;28,3;26,3;30,9
0230 Lørenskog;230;Lørenskog;4238;2649;1589;475;1114;18,2;14,8;29,3;23,8;32,6
0231 Skedsmo;231;Skedsmo;6234;3851;2383;647;1736;18,2;14,6;30,7;24;34,2
0233 Nittedal;233;Nittedal;2150;1647;503;219;284;14,6;13,1;23,5;18,7;29,5
0234 Gjerdrum;234;Gjerdrum;595;442;153;97;56;14,2;12,4;24,5;20,8;35,4
0235 Ullensaker;235;Ullensaker;3907;2736;1171;454;717;18,2;16;26,6;21,2;31,7
0236 Nes (Akershus);236;Nes (Ak.);2603;2150;453;215;238;19,1;17,8;28,8;23,8;35,6
0237 Eidsvoll;237;Eidsvoll;3092;2539;553;258;295;20,4;19,2;28,7;24,1;34,4
0238 Nannestad;238;Nannestad;1416;1095;321;172;149;18;16,8;23,9;21,1;28,3
0239 Hurdal;239;Hurdal;383;337;46;20;26;21,8;21,3;27,1;18,9;40,6
0301 Oslo;301;Oslo kommune;88461;45349;43112;10886;32226;19,5;14,3;31,7;21,5;37,7
0402 Kongsvinger;402;Kongsvinger;3269;2656;613;157;456;28,1;26;42,7;29,3;50,7
0403 Hamar;403;Hamar;3824;3034;790;214;576;19,9;17,9;33,9;24,2;39,8
0412 Ringsaker;412;Ringsaker;4448;3839;609;303;306;20,3;19,2;31;25;40,7
0415 Løten;415;Løten;1097;953;144;67;77;22;20,7;36,4;30,6;43,5
0417 Stange;417;Stange;2701;2283;418;160;258;20,9;19,5;34;25,8;42,4
0418 Nord-Odal;418;Nord-Odal;841;784;57;33;24;25,6;25,1;34,1;30,3;41,4
0419 Sør-Odal;419;Sør-Odal;1186;1076;110;54;56;22,7;22;32,3;26,5;40,9
0420 Eidskog;420;Eidskog;1077;951;126;60;66;26,6;25,4;40;32,3;51,2
0423 Grue;423;Grue;788;706;82;40;42;25,1;24,5;31,3;26,3;38,2
0425 Åsnes;425;Åsnes;1273;1119;154;56;98;26,7;25,3;44,3;33,1;54,7
0426 Våler (Hedm.);426;Våler (Hedm.);614;562;52;35;17;25,1;24,7;29,4;26,9;36,2
0427 Elverum;427;Elverum;2663;2204;459;150;309;19,7;18,1;35,3;28,3;40,1
0428 Trysil;428;Trysil;1031;855;176;108;68;24,4;22,6;38,4;33,1;51,5
0429 Åmot;429;Åmot;602;521;81;51;30;20,9;19,7;34;29,8;44,8
0430 Stor-Elvdal;430;Stor-Elvdal;541;363;178;29;149;30,3;24,5;58,6;29;73
0432 Rendalen;432;Rendalen;229;199;30;19;11;19,8;18,3;44,1;38,8;57,9
0434 Engerdal;434;Engerdal;166;127;39;9;30;20,3;17,2;50,6;22;83,3
0436 Tolga;436;Tolga;142;101;41;13;28;13,4;10,8;34,5;19,1;54,9
0437 Tynset;437;Tynset;519;410;109;43;66;14,6;13,1;26,3;17,1;40,2
0438 Alvdal;438;Alvdal;204;172;32;7;25;13,5;12,2;31,7;14,3;48,1
0439 Folldal;439;Folldal;156;144;12; : ; : ;15,7;15,4;22,6; : ; : 
0441 Os (Hedm.);441;Os (Hedm.);172;136;36;21;15;13,2;11,7;26,1;21,9;35,7
0501 Lillehammer;501;Lillehammer;2874;2314;560;180;380;16,1;14,6;27,5;20,2;33,2
0502 Gjøvik;502;Gjøvik;3950;3176;774;208;566;20,1;18,6;30,5;21,2;36,3
0511 Dovre;511;Dovre;341;283;58;22;36;20;18,3;35,2;21,8;56,3
0512 Lesja;512;Lesja;162;140;22;16;6;12,5;11,7;20,6;17,4;40
0513 Skjåk;513;Skjåk;249;199;50;30;20;17,4;15,2;41,3;38,5;46,5
0514 Lom;514;Lom;228;205;23;7;16;15;14,2;27,7;15,2;43,2
0515 Vågå;515;Vågå;385;339;46;15;31;16,7;15,5;39;28,3;47,7
0516 Nord-Fron;516;Nord-Fron;695;623;72;21;51;19;18,2;28,8;14,9;46,8
0517 Sel;517;Sel;802;691;111;20;91;20,9;19,3;43,4;20,2;58
0519 Sør-Fron;519;Sør-Fron;384;338;46;30;16;19,1;18,4;26,7;22,9;39
0520 Ringebu;520;Ringebu;558;455;103;48;55;19,3;17,7;32,7;21,8;57,9
0521 Øyer;521;Øyer;587;439;148;85;63;17,1;14,8;33;29,5;39,4
0522 Gausdal;522;Gausdal;644;571;73;42;31;16,2;15,4;26,6;23,1;33,7
0528 Østre Toten;528;Østre Toten;1970;1693;277;124;153;20,4;19,2;32,6;23,8;46,8
0529 Vestre Toten;529;Vestre Toten;1879;1652;227;57;170;21,9;21;33;19,4;43,1
