"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16_25;aldersinndeling_etter_grskole.26_66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16_25;aldersinndeling_etter_grskole.26_66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16_25;aldersinndeling_etter_grskole.26_66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16_25;aldersinndeling_etter_grskole.26_66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16_25;aldersinndeling_etter_grskole.26_66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16_25;aldersinndeling_etter_grskole.26_66
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1;Halden;4962;588;4374;4022;455;3567;940;133;807;25;14,7;27,7;23,2;12,8;25,9;37,9;29,7;39,7
02 Indre Østfold;2;Indre Østfold;8765;1083;7682;6825;816;6009;1940;267;1673;22,1;14,6;23,8;20,2;12,5;22;33;30,8;33,4
03 Mosseregionen;3;Mosseregionen;8748;1059;7689;6639;805;5834;2109;254;1855;22,7;15;24,5;20,4;12,8;22,3;35,3;32,2;35,8
04 Nedre Glomma;4;Nedre Glomma;21739;2590;19149;16586;1861;14725;5153;729;4424;24,2;15,1;26,4;21,9;12,7;24,1;36,8;28,9;38,5
05 Akershus Vest;5;Akershus Vest;17905;2444;15461;11415;1556;9859;6490;888;5602;15,6;11,3;16,6;12,5;8,2;13,6;27,6;32,7;27
06 Follo;6;Follo;14576;1873;12703;10870;1352;9518;3706;521;3185;16,5;11,3;17,7;14,6;9,1;16;26,8;31,1;26,2
07 Nedre Romerike;7;Nedre Romerike;19495;2444;17051;13277;1677;11600;6218;767;5451;17,3;11,8;18,6;14,7;9,3;16;28,5;27,9;28,5
08 Øvre Romerike;8;Øvre Romerike;11996;1469;10527;9299;1093;8206;2697;376;2321;18,7;12,7;20;17,2;10,7;18,7;26,9;26,3;27
09 Oslo;9;Oslo;88461;11211;77250;45349;6223;39126;43112;4988;38124;19,5;13,6;20,8;14,3;9,7;15,4;31,7;27,3;32,3
10 Fjellregionen;10;Fjellregionen;1422;179;1243;1162;117;1045;260;62;198;14,9;9,3;16,3;13,4;6,7;15,1;29,1;35,6;27,5
11 Glåmdal;11;Glåmdal;9048;1043;8005;7854;858;6996;1194;185;1009;26,2;16,6;28,3;24,9;14,7;27,2;39,2;40,5;39
12 Hamarregionen;12;Hamarregionen;12070;1427;10643;10109;1091;9018;1961;336;1625;20,4;12,6;22,3;19;10,5;21;33,1;33,9;33
13 Sør Østerdal;13;Sør Østerdal;5003;656;4347;4070;458;3612;933;198;735;21,6;14,4;23,3;19,5;11,2;21,6;39,3;40,9;38,8
14 Gjøvikregionen;14;Gjøvikregionen;9732;1077;8655;8243;828;7415;1489;249;1240;21,2;12,2;23,3;19,9;10,3;22,2;32,1;30,1;32,5
15 Hadeland;15;Hadeland;3903;458;3445;3251;342;2909;652;116;536;20,4;13,1;22;18,8;10,6;20,6;35,7;40,4;34,9
16 Lillehammerregionen;16;Lillehammerregionen;4105;569;3536;3324;422;2902;781;147;634;16,2;10,5;17,8;14,8;8,6;16,5;28,3;27,8;28,4
