bydel;bydel_nr;bydel_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
0301 Oslo;301;Oslo kommune;341 500;284 800;241 800;368 300
030101 Gamle Oslo;30101;Gamle Oslo;304200;266700;218800;334100
030102 Grünerløkka;30102;Grünerløkka;316000;266400;225200;345000
030103 Sagene;30103;Sagene;337500;289200;221300;357300
030104 St. Hanshaugen;30104;St. Hanshaugen;333800;282300;225900;360100
030105 Frogner;30105;Frogner;364800;316600;258200;389400
030106 Ullern;30106;Ullern;444500;356700;265900;463900
030107 Vestre Aker;30107;Vestre Aker;443200;322200;228200;467100
030108 Nordre Aker;30108;Nordre Aker;406900;282200;213900;427400
030109 Bjerke;30109;Bjerke;313100;257200;240400;341900
030110 Grorud;30110;Grorud;292900;257900;253600;312100
030111 Stovner;30111;Stovner;295700;267500;249000;318600
030112 Alna;30112;Alna;297000;273700;254100;317600
030113 Østensjø;30113;Østensjø;346900;296400;258500;360100
030114 Nordstrand;30114;Nordstrand;393900;306900;249200;407900
030115 Søndre Nordstrand;30115;Søndre Nordstrand;301000;269500;248200;326800
030116 Sentrum;30116;Sentrum;261300;265500;207400;273400
030117 Marka;30117;Marka;379200;243700;288500;386800
030199 Uoppgitt bydel Oslo;30199;Uoppgitt;173900;181200;152700;175100
