kommune;kommune_nr;kommune_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
0101 Halden;101;Halden;312 700;262 800;209 900;319 600
0104 Moss;104;Moss;321 100;267 800;223 700;332 700
0105 Sarpsborg;105;Sarpsborg;309 100;259 500;220 500;319 100
0106 Fredrikstad;106;Fredrikstad;318 300;281 900;217 500;326 800
0111 Hvaler;111;Hvaler;341 900;285 200;241 300;345 100
0118 Aremark;118;Aremark;311 500;294 100;261 700;314 100
0119 Marker;119;Marker;310 200;266 200;217 400;315 100
0121 Rømskog;121;Rømskog;313 600;302 500;:;315 000
0122 Trøgstad;122;Trøgstad;317 400;259 900;215 600;321 900
0123 Spydeberg;123;Spydeberg;332 600;275 600;235 700;339 600
0124 Askim;124;Askim;315 800;280 200;244 200;324 900
0125 Eidsberg;125;Eidsberg;301 200;246 700;224 900;312 000
0127 Skiptvet;127;Skiptvet;315 800;243 700;235 400;322 000
0128 Rakkestad;128;Rakkestad;310 900;244 300;217 800;321 700
0135 Råde;135;Råde;335 400;282 100;227 300;340 200
0136 Rygge;136;Rygge;336 500;279 000;266 000;342 800
0137 Våler;137;Våler (Østf.);340 700;284 000;288 200;346 100
0138 Hobøl;138;Hobøl;330 200;273 400;268 600;337 500
0211 Vestby;211;Vestby;354 700;302 500;267 700;362 000
0213 Ski;213;Ski;363 500;308 600;263 700;372 300
0214 Ås;214;Ås;348 600;289 400;243 000;360 000
0215 Frogn;215;Frogn;380 000;325 000;253 400;387 000
0216 Nesodden;216;Nesodden;363 200;320 600;263 800;369 800
0217 Oppegård;217;Oppegård;396 300;331 000;260 200;405 400
0219 Bærum;219;Bærum;412 900;329 000;263 700;432 100
0220 Asker;220;Asker;401 400;321 400;258 500;417 900
0221 Aurskog-Høland;221;Aurskog-Høland;321 700;260 000;236 200;326 300
0226 Sørum;226;Sørum;356 200;274 300;282 200;365 000
0227 Fet;227;Fet;366 100;291 300;288 400;373 100
0228 Rælingen;228;Rælingen;355 200;307 200;283 200;365 700
0229 Enebakk;229;Enebakk;347 600;297 200;275 000;354 000
0230 Lørenskog;230;Lørenskog;365 100;288 600;282 300;380 300
0231 Skedsmo;231;Skedsmo;354 900;294 300;261 800;368 700
