bydel;bydel_nr;bydel_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle
;;;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0301 Oslo;301;Oslo;13,7;19,6;31;27,2;10
030101 Gamle Oslo;30101;Gamle Oslo;20,5;22,3;40,4;35,1;15,1
030102 Grünerløkka;30102;Grünerløkka;18,4;23,6;37,1;31,8;14
030103 Sagene;30103;Sagene;15,7;19,4;37,3;30,5;12,3
030104 St. Hanshaugen;30104;St. Hanshaugen;17,1;22;35,9;28,6;14,4
030105 Frogner;30105;Frogner;14,3;17,1;29,8;22,3;12,3
030106 Ullern;30106;Ullern;7,1;14,9;24,9;19;5,4
030107 Vestre Aker;30107;Veste Aker;7,8;17,4;30,9;22,7;5,8
030108 Nordre Aker;30108;Nordre Aker;8,5;20,1;38,8;29;5,9
030109 Bjerke;30109;Bjerke;16;25,2;32,2;30,5;10,3
030110 Grorud;30110;Grorud;15,6;21,3;26,2;25,4;11,3
030111 Stovner;30111;Stovner;17,4;20,3;29,2;27,9;12,4
030112 Alna;30112;Alna;15,2;16,9;24,8;23,6;11,2
030113 Østensjø;30113;Østensjø;8,9;15,1;26,2;22,9;6,2
030114 Nordstrand;30114;Nordstrand;7,7;17;29,2;22,9;5,6
030115 Søndre Nordstrand;30115;Søndre Nordstrand;17,4;20,6;28,1;26,7;13
030116 Sentrum;30116;Sentrum;29,9;24,7;49,7;36,4;24,9
030117 Marka;30117;Marka;8,5;25;:;25,2;7,2
030199 Uoppgitt bydel Oslo;30199;Uoppgitt bydel Oslo;30,7;35;62;54,3;25,9
