kommune;kommune_nr;kommune_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle
;;;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;11,4;24,4;44,6;35,5;9,1
0104 Moss;104;Moss;10,1;19,6;34,2;28,6;7,3
0105 Sarpsborg;105;Sarpsborg;10,7;23,8;38,4;33,1;7,7
0106 Fredrikstad;106;Fredrikstad;10,7;18,8;41,8;33,5;8
0111 Hvaler;111;Hvaler;6,1;18,9;27,7;22,2;5,4
0118 Aremark;118;Aremark;8,1;:;:;:;7,8
0119 Marker;119;Marker;9,5;27,8;34;30,2;7,9
0121 Rømskog;121;Rømskog;6,4;:;:;:;5,8
0122 Trøgstad;122;Trøgstad;8,5;21,2;32;24,3;7,3
0123 Spydeberg;123;Spydeberg;6,9;18,6;28,2;23,4;5,5
0124 Askim;124;Askim;10,5;18,9;30,6;26,3;7,9
0125 Eidsberg;125;Eidsberg;11,3;23,3;38,2;30,9;8,8
0127 Skiptvet;127;Skiptvet;7,5;26,6;16,7;23,2;6,2
0128 Rakkestad;128;Rakkestad;9,7;28,3;39,3;34,3;7,2
0135 Råde;135;Råde;7;17,4;31,6;22,1;5,7
0136 Rygge;136;Rygge;5,8;19,1;15,2;17,3;4,7
0137 Våler (Østfold);137;Våler (Østf.);5,8;17,3;17,4;17,3;4,8
0138 Hobøl;138;Hobøl;6,6;16,1;17,4;16,5;5,4
0211 Vestby;211;Vestby;6,3;14,7;21,7;18,1;4,9
0213 Ski;213;Ski;5,7;13,3;22,4;18,5;4,1
0214 Ås;214;Ås;10,1;20,7;26,4;23,6;8,1
0215 Frogn;215;Frogn;5,4;16,1;24,8;19,2;4,1
0216 Nesodden;216;Nesodden;6,4;13,7;23,7;17,1;5,2
0217 Oppegård;217;Oppegård;4,8;12,2;25,2;18,7;3,2
0219 Bærum;219;Bærum;6,1;17;23,2;19,9;3,9
0220 Asker;220;Asker;6,4;17;25,6;20,9;4,2
0221 Aurskog Høland;221;Aurskog-Høland;8,4;24,5;30,3;26,1;6,9
0226 Sørum;226;Sørum;5,9;18,7;21,1;19,7;4,2
0227 Fet;227;Fet;5,2;18,3;19;18,5;3,7
0228 Rælingen;228;Rælingen;5,7;14,6;18,6;17,2;3,8
0229 Enebakk;229;Enebakk;5,7;18,3;21,8;19,8;4,2
0230 Lørenskog;230;Lørenskog;6,7;16,9;19,6;18,7;4,5
0231 Skedsmo;231;Skedsmo;7,2;17,9;22,6;21,2;4,6
0233 Nittedal;233;Nittedal;5,3;14,1;19,1;16,4;4
0234 Gjerdrum;234;Gjerdrum;4,1;15,1;22,7;17,2;2,7
0235 Ullensaker;235;Ullensaker;7,1;16;23,1;20;5,1
0236 Nes (Akershus);236;Nes (Ak.);6,3;17,2;26;21,1;5,1
0237 Eidsvoll;237;Eidsvoll;7;16,9;22,9;19,6;5,9
0238 Nannestad;238;Nannestad;6,3;19,6;21,1;20,2;4,6
0239 Hurdal;239;Hurdal;8,4;15,7;30;20,3;7,6
0301 Oslo;301;Oslo kommune;13,7;19,6;31;27,2;10
0402 Kongsvinger;402;Kongsvinger;11,2;21,3;42;34;9,1
0403 Hamar;403;Hamar;9,1;16,3;43,3;33;7
0412 Ringsaker;412;Ringsaker;7,7;23,3;27,3;24,9;6,7
0415 Løten;415;Løten;8,5;30,7;53;41,3;6,6
0417 Stange;417;Stange;9,4;23,7;40,2;32,1;7,9
0418 Nord-Odal;418;Nord-Odal;9,3;28,4;24;27;8,7
0419 Sør-Odal;419;Sør-Odal;7,6;25,8;28,1;26,7;6,7
0420 Eidskog;420;Eidskog;12,6;16,9;45,3;28,6;11,6
0423 Grue;423;Grue;12;22,3;43,6;31,4;10,9
0425 Åsnes;425;Åsnes;10,5;27,7;31,7;29,5;9,6
0426 Våler (Hedm.);426;Våler (Hedm.);9,2;29,8;:;28,1;8,3
0427 Elverum;427;Elverum;9;25,1;42,5;35,5;7,2
0428 Trysil;428;Trysil;11,1;22,1;48,7;30;9,8
0429 Åmot;429;Åmot;11,6;33,3;39,7;35;10,2
0430 Stor-Elvdal;430;Stor-Elvdal;13,1;41,1;45,8;42,7;11,2
0432 Rendalen;432;Rendalen;10,8;:;:;27,5;10,3
0434 Engerdal;434;Engerdal;11,1;:;:;20,7;10,6
0436 Tolga;436;Tolga;12,3;30,5;50,8;39;9,6
0437 Tynset;437;Tynset;9,4;30,3;40,4;34,2;7,6
0438 Alvdal;438;Alvdal;8;:;43,5;26,7;7
0439 Folldal;439;Folldal;10;28,9;42,9;34,8;8,9
0441 Os (Hedm.);441;Os (Hedm.);9,4;11,5;43,2;21,4;8,4
0501 Lillehammer;501;Lillehammer;9,8;17,1;39,2;29,7;8,1
0502 Gjøvik;502;Gjøvik;9,9;18,5;37,5;30,3;8,1
0511 Dovre;511;Dovre;11;34,7;47,9;39;9,3
0512 Lesja;512;Lesja;9,4;35,2;:;34,3;7,9
0513 Skjåk;513;Skjåk;8,8;30,5;40,5;34,7;7,5
0514 Lom;514;Lom;9,3;28,9;52,9;39,2;8,2
0515 Vågå;515;Vågå;9,4;32,7;41,5;37,6;8,4
0516 Nord-Fron;516;Nord-Fron;9,6;23,7;60,9;39;8,3
0517 Sel;517;Sel;9,1;25,3;47,3;36,4;8,2
0519 Sør-Fron;519;Sør-Fron;11,3;31;35,7;32,1;10
0520 Ringebu;520;Ringebu;10,8;37,7;54,7;42,2;8,5
0521 Øyer;521;Øyer;9,2;23,1;55,2;38,8;6,9
0522 Gausdal;522;Gausdal;9,8;29,3;31,6;30,2;8,8
0528 Østre Toten;528;Østre Toten;8,5;25,1;30,4;27,1;7,4
0529 Vestre Toten;529;Vestre Toten;7,2;14,7;39,9;29,1;6
0532 Jevnaker;532;Jevnaker;8,4;21,1;34,2;26,2;7,1
0533 Lunner;533;Lunner;6,1;17,8;31,8;24,9;4,8
0534 Gran;534;Gran;7,9;28,2;40,4;35;6,2
0536 Søndre Land;536;Søndre Land;9,8;36,2;50;42,4;8,2
0538 Nordre Land;538;Nordre Land;10,5;37,4;50;42,6;9,1
0540 Sør-Aurdal;540;Sør-Aurdal;12,5;21,3;56,9;33,8;11,4
0541 Etnedal;541;Etnedal;14,8;47,7;58,6;52,1;12,4
0542 Nord-Aurdal;542;Nord-Aurdal;10,5;36,1;34,3;35,5;8,7
0543 Vestre Slidre;543;Vestre Slidre;10;41,3;76,3;53,1;7,5
0544 Øystre Slidre;544;Øystre Slidre;8,3;24,2;42,6;29,6;6,9
0545 Vang;545;Vang;10,7;29,2;67,9;37,3;7,9
0602 Drammen;602;Drammen;11,4;21,1;31,6;28,3;7,7
0604 Kongsberg;604;Kongsberg;6,4;15;25,7;20,4;4,8
0605 Ringerike;605;Ringerike;9,8;26,3;32,4;29,4;7,9
0612 Hole;612;Hole;6,5;18,5;25,3;20,7;4,9
0615 Flå;615;Flå;8,3;38,2;:;32,3;6,6
