fylke;fylke_nr;fylke_navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;0;Hele landet;118027;41930;76097;1281;74816;100;35,5;64,5;1,1;63,4;65094;22834;42260;749;41511;100;35,1;64,9;1,2;63,8;52933;19096;33837;532;33305;100;36,1;63,9;1;62,9
01 Østfold;1;Østfold;8504;2961;5543;91;5452;100;34,8;65,2;1,1;64,1;4623;1631;2992;55;2937;100;35,3;64,7;1,2;63,5;3881;1330;2551;36;2515;100;34,3;65,7;0,9;64,8
02 Akershus;2;Akershus;10051;4252;5799;164;5635;100;42,3;57,7;1,6;56,1;5450;2242;3208;94;3114;100;41,1;58,9;1,7;57,1;4601;2010;2591;70;2521;100;43,7;56,3;1,5;54,8
03 Oslo;3;Oslo;16912;9883;7029;544;6485;100;58,4;41,6;3,2;38,3;9411;5296;4115;330;3785;100;56,3;43,7;3,5;40,2;7501;4587;2914;214;2700;100;61,2;38,8;2,9;36
04 Hedmark;4;Hedmark;5600;1364;4236;18;4218;100;24,4;75,6;0,3;75,3;2972;731;2241;9;2232;100;24,6;75,4;0,3;75,1;2628;633;1995;9;1986;100;24,1;75,9;0,3;75,6
05 Oppland;5;Oppland;4503;1295;3208;15;3193;100;28,8;71,2;0,3;70,9;2364;696;1668;10;1658;100;29,4;70,6;0,4;70,1;2139;599;1540;5;1535;100;28;72;0,2;71,8
06 Buskerud;6;Buskerud;6648;2416;4232;95;4137;100;36,3;63,7;1,4;62,2;3536;1255;2281;48;2233;100;35,5;64,5;1,4;63,2;3112;1161;1951;47;1904;100;37,3;62,7;1,5;61,2
07 Vestfold;7;Vestfold;5927;1713;4214;47;4167;100;28,9;71,1;0,8;70,3;3296;949;2347;21;2326;100;28,8;71,2;0,6;70,6;2631;764;1867;26;1841;100;29;71;1;70
08 Telemark;8;Telemark;5044;1674;3370;33;3337;100;33,2;66,8;0,7;66,2;2953;1014;1939;23;1916;100;34,3;65,7;0,8;64,9;2091;660;1431;10;1421;100;31,6;68,4;0,5;68
09 Aust-Agder;9;Aust-Agder;3203;911;2292;23;2269;100;28,4;71,6;0,7;70,8;1773;497;1276;12;1264;100;28;72;0,7;71,3;1430;414;1016;11;1005;100;29;71;0,8;70,3
10 Vest-Agder;10;Vest-Agder;3987;1568;2419;47;2372;100;39,3;60,7;1,2;59,5;2211;886;1325;31;1294;100;40,1;59,9;1,4;58,5;1776;682;1094;16;1078;100;38,4;61,6;0,9;60,7
11 Rogaland;11;Rogaland;8915;3187;5728;72;5656;100;35,7;64,3;0,8;63,4;4943;1790;3153;42;3111;100;36,2;63,8;0,8;62,9;3972;1397;2575;30;2545;100;35,2;64,8;0,8;64,1
12 Hordaland;12;Hordaland;10769;3247;7522;78;7444;100;30,2;69,8;0,7;69,1;6137;1774;4363;44;4319;100;28,9;71,1;0,7;70,4;4632;1473;3159;34;3125;100;31,8;68,2;0,7;67,5
14 Sogn og Fjordane;14;Sogn og Fjordane;1945;550;1395;5;1390;100;28,3;71,7;0,3;71,5;1059;291;768;       :;766;100;27,5;72,5;       :;72,3;886;259;627;       :;624;100;29,2;70,8;       :;70,4
15 Møre og Romsdal;15;Møte og Romsdal;4479;1251;3228;9;3219;100;27,9;72,1;0,2;71,9;2409;660;1749;6;1743;100;27,4;72,6;0,2;72,4;2070;591;1479;       :;1476;100;28,6;71,4;       :;71,3
16 Sør-Trøndelag;16;Sør-Trøndelag;6175;1927;4248;26;4222;100;31,2;68,8;0,4;68,4;3410;1082;2328;12;2316;100;31,7;68,3;0,4;67,9;2765;845;1920;14;1906;100;30,6;69,4;0,5;68,9
17 Nord-Trøndelag;17;Nord-Trøndelag;2821;656;2165;       :;2164;100;23,3;76,7;       :;76,7;1446;333;1113;       :;1112;100;23;77;       :;76,9;1375;323;1052;:;1052;100;23,5;76,5;       :;76,5
18 Nordland;18;Nordland;6439;1580;4859;       :;4857;100;24,5;75,5;       :;75,4;3559;879;2680;       :;2678;100;24,7;75,3;       :;75,2;2880;701;2179;:;2179;100;24,3;75,7;       :;75,7
19 Troms Romsa;19;Troms Romsa;3515;902;2613;7;2606;100;25,7;74,3;0,2;74,1;2034;514;1520;5;1515;100;25,3;74,7;0,2;74,5;1481;388;1093;       :;1091;100;26,2;73,8;       :;73,7
20 Finnmark Finnmárku;20;Finnmark Finnmárku;2590;593;1997; ;1993;100;22,9;77,1;0,2;76,9;1508;314;1194;       :;1192;100;20,8;79,2;       :;79;1082;279;803;       :;801;100;25,8;74,2;       :;74
99 Uoppgitt fylke;99;Uoppgitt fylke;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :
