naringsregion;naringsregion_nr;naringsregion_navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1;Halden;983;295;688;6;682;100;30;70;0,6;69,4;502;149;353;:;350;100;29,7;70,3;:;69,7;481;146;335;:;332;100;30,4;69,6;:;69
02 Indre Østfold;2;Indre Østfold;1665;485;1180;16;1164;100;29,1;70,9;1;69,9;858;259;599;9;590;100;30,2;69,8;1;68,8;807;226;581;7;574;100;28;72;0,9;71,1
03 Mosseregionen;3;Mosseregionen;1813;543;1270;32;1238;100;30;70;1,8;68,3;973;285;688;19;669;100;29,3;70,7;2;68,8;840;258;582;13;569;100;30,7;69,3;1,5;67,7
04 Nedre Glomma;4;Nedre Glomma;4043;1638;2405;37;2368;100;40,5;59,5;0,9;58,6;2290;938;1352;24;1328;100;41;59;1;58;1753;700;1053;13;1040;100;39,9;60,1;0,7;59,3
05 Akershus Vest;5;Akershus Vest;2761;1465;1296;58;1238;100;53,1;46,9;2,1;44,8;1507;756;751;34;717;100;50,2;49,8;2,3;47,6;1254;709;545;24;521;100;56,5;43,5;1,9;41,5
06 Follo;6;Follo;2342;906;1436;30;1406;100;38,7;61,3;1,3;60;1289;496;793;14;779;100;38,5;61,5;1,1;60,4;1053;410;643;16;627;100;38,9;61,1;1,5;59,5
07 Nedre Romerike;7;Nedre Romerike;3179;1396;1783;59;1724;100;43,9;56,1;1,9;54,2;1694;738;956;37;919;100;43,6;56,4;2,2;54,3;1485;658;827;22;805;100;44,3;55,7;1,5;54,2
08 Øvre Romerike;8;Øvre Romerike;1769;485;1284;17;1267;100;27,4;72,6;1;71,6;960;252;708;9;699;100;26,3;73,8;0,9;72,8;809;233;576;8;568;100;28,8;71,2;1;70,2
09 Oslo;9;Oslo;16912;9883;7029;544;6485;100;58,4;41,6;3,2;38,3;9411;5296;4115;330;3785;100;56,3;43,7;3,5;40,2;7501;4587;2914;214;2700;100;61,2;38,8;2,9;36
10 Fjellregionen;10;Fjellregionen;320;104;216;:;215;100;32,5;67,5;:;67,2;182;57;125;:;124;100;31,3;68,7;:;68,1;138;47;91;:;91;100;34,1;65,9;       :;65,9
11 Glåmdal;11;Glåmdal;1805;307;1498;4;1494;100;17;83;0,2;82,8;959;170;789;:;788;100;17,7;82,3;:;82,2;846;137;709;:;706;100;16,2;83,8;:;83,5
12 Hamarregionen;12;Hamarregionen;2536;664;1872;12;1860;100;26,2;73,8;0,5;73,3;1307;338;969;6;963;100;25,9;74,1;0,5;73,7;1229;326;903;6;897;100;26,5;73,5;0,5;73
13 Sør Østerdal;13;Sør Østerdal;939;289;650;:;649;100;30,8;69,2;:;69,1;524;166;358;:;357;100;31,7;68,3;:;68,1;415;123;292;:;292;100;29,6;70,4;       :;70,4
14 Gjøvikregionen;14;Gjøvikregionen;1738;539;1199;8;1191;100;31;69;0,5;68,5;904;287;617;6;611;100;31,7;68,3;0,7;67,6;834;252;582;:;580;100;30,2;69,8;:;69,5
15 Hadeland;15;Hadeland;707;242;465;:;463;100;34,2;65,8;:;65,5;376;129;247;:;246;100;34,3;65,7;:;65,4;331;113;218;:;217;100;34,1;65,9;:;65,6
16 Lillehammerregionen;16;Lillehammerregionen;796;248;548;:;546;100;31,2;68,8;:;68,6;448;141;307;:;307;100;31,5;68,5;       :;68,5;348;107;241;:;239;100;30,7;69,3;:;68,7
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;260;57;203;:;202;100;21,9;78,1;:;77,7;129;34;95;:;94;100;26,4;73,6;:;72,9;131;23;108;:;108;100;17,6;82,4;       :;82,4
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;487;76;411;:;411;100;15,6;84,4;       :;84,4;231;30;201;:;201;100;13;87;       :;87;256;46;210;:;210;100;18;82;       :;82
19 Valdres;19;Valdres;515;133;382;:;380;100;25,8;74,2;:;73,8;276;75;201;:;199;100;27,2;72,8;:;72,1;239;58;181;:;181;100;24,3;75,7;       :;75,7
20 Drammensregionen;20;Drammensregionen;4333;1733;2600;82;2518;100;40;60;1,9;58,1;2286;886;1400;41;1359;100;38,8;61,2;1,8;59,4;2047;847;1200;41;1159;100;41,4;58,6;2;56,6
21 Hallingdal;21;Hallingdal;347;104;243;:;243;100;30;70;       :;70;203;65;138;:;138;100;32;68;       :;68;144;39;105;:;105;100;27,1;72,9;       :;72,9
22 Kongsberg/Numedal;22;Kongsberg/Numedal;693;266;427;:;424;100;38,4;61,6;:;61,2;366;149;217;:;216;100;40,7;59,3;:;59;327;117;210;:;208;100;35,8;64,2;:;63,6
23 Midt-Buskerud;23;Midt-Buskerud;591;105;486;:;483;100;17,8;82,2;:;81,7;310;50;260;:;259;100;16,1;83,9;:;83,5;281;55;226;:;224;100;19,6;80,4;:;79,7
24 Ringerike/Hole;24;Ringerike/Hole;1046;299;747;8;739;100;28,6;71,4;0,8;70,7;570;158;412;6;406;100;27,7;72,3;1,1;71,2;476;141;335;:;333;100;29,6;70,4;:;70
25 Tønsbergregionen;25;Tønsbergregionen;3330;937;2393;20;2373;100;28,1;71,9;0,6;71,3;1821;509;1312;8;1304;100;28;72;0,4;71,6;1509;428;1081;12;1069;100;28,4;71,6;0,8;70,8
26 Sandefjord/Larvik;26;Sandefjord/Larvik;2235;685;1550;26;1524;100;30,6;69,4;1,2;68,2;1276;387;889;12;877;100;30,3;69,7;0,9;68,7;959;298;661;14;647;100;31,1;68,9;1,5;67,5
27 Grenland;27;Grenland;3578;1231;2347;28;2319;100;34,4;65,6;0,8;64,8;2131;761;1370;20;1350;100;35,7;64,3;0,9;63,4;1447;470;977;8;969;100;32,5;67,5;0,6;67
28 Midt-Telemark;28;Midt-Telemark;574;204;370;:;367;100;35,5;64,5;:;63,9;319;120;199;:;197;100;37,6;62,4;:;61,8;255;84;171;:;170;100;32,9;67,1;:;66,7
29 Øst-Telemark;29;Øst-Telemark;599;183;416;:;414;100;30,6;69,4;:;69,1;344;99;245;:;244;100;28,8;71,2;:;70,9;255;84;171;:;170;100;32,9;67,1;:;66,7
30 Vest-Telemark;30;Vest-Telemark;293;56;237;:;237;100;19,1;80,9;       :;80,9;159;34;125;:;125;100;21,4;78,6;       :;78,6;134;22;112;:;112;100;16,4;83,6;       :;83,6
31 Setesdal;31;Setesdal;196;66;130;:;130;100;33,7;66,3;       :;66,3;108;32;76;:;76;100;29,6;70,4;       :;70,4;88;34;54;:;54;100;38,6;61,4;       :;61,4
32 Arendalregionen;32;Arendalregionen;2722;771;1951;21;1930;100;28,3;71,7;0,8;70,9;1505;425;1080;12;1068;100;28,2;71,8;0,8;71;1217;346;871;9;862;100;28,4;71,6;0,7;70,8
33 Lister;33;Lister;676;226;450;:;449;100;33,4;66,6;:;66,4;363;115;248;:;247;100;31,7;68,3;:;68;313;111;202;:;202;100;35,5;64,5;       :;64,5
34 Mandalsregionen;34;Mandalsregionen;506;163;343;:;343;100;32,2;67,8;       :;67,8;247;70;177;:;177;100;28,3;71,7;       :;71,7;259;93;166;:;166;100;35,9;64,1;       :;64,1
35 Kristiansandregionen;35;Kristiansandregionen;3090;1253;1837;48;1789;100;40,6;59,4;1,6;57,9;1761;741;1020;30;990;100;42,1;57,9;1,7;56,2;1329;512;817;18;799;100;38,5;61,5;1,4;60,1
36 Dalane;36;Dalane;453;139;314;:;314;100;30,7;69,3;       :;69,3;227;69;158;:;158;100;30,4;69,6;       :;69,6;226;70;156;:;156;100;31;69;       :;69
37 Haugesundregionen;37;Haugesundregionen;2031;573;1458;8;1450;100;28,2;71,8;0,4;71,4;1171;319;852;6;846;100;27,2;72,8;0,5;72,2;860;254;606;:;604;100;29,5;70,5;:;70,2
38 Ryfylke;38;Ryfylke;412;121;291;:;291;100;29,4;70,6;       :;70,6;206;62;144;:;144;100;30,1;69,9;       :;69,9;206;59;147;:;147;100;28,6;71,4;       :;71,4
39 Stavangerregionen;39;Stavangerregionen;6019;2354;3665;64;3601;100;39,1;60,9;1,1;59,8;3339;1340;1999;36;1963;100;40,1;59,9;1,1;58,8;2680;1014;1666;28;1638;100;37,8;62,2;1;61,1
40 Bergen;40;Bergen;6270;2157;4113;65;4048;100;34,4;65,6;1;64,6;3628;1172;2456;34;2422;100;32,3;67,7;0,9;66,8;2642;985;1657;31;1626;100;37,3;62,7;1,2;61,5
41 Bjørnefjorden;41;Bjørnefjorden;374;68;306;:;306;100;18,2;81,8;       :;81,8;187;29;158;:;158;100;15,5;84,5;       :;84,5;187;39;148;:;148;100;20,9;79,1;       :;79,1
42 Hardanger;42;Hardanger;546;166;380;:;380;100;30,4;69,6;       :;69,6;301;84;217;:;217;100;27,9;72,1;       :;72,1;245;82;163;:;163;100;33,5;66,5;       :;66,5
43 Voss;43;Voss;349;125;224;:;223;100;35,8;64,2;:;63,9;186;73;113;:;112;100;39,2;60,8;:;60,2;163;52;111;:;111;100;31,9;68,1;       :;68,1
44 Nordhordland;44;Nordhordland;709;119;590;:;587;100;16,8;83,2;:;82,8;391;60;331;:;328;100;15,3;84,7;:;83,9;318;59;259;:;259;100;18,6;81,4;       :;81,4
45 Osterfjorden;45;Osterfjorden;270;45;225;:;225;100;16,7;83,3;       :;83,3;138;19;119;:;119;100;13,8;86,2;       :;86,2;132;26;106;:;106;100;19,7;80,3;       :;80,3
46 Sunnhordland;46;Sunnhordland;1148;286;862;5;857;100;24,9;75,1;0,4;74,7;668;176;492;4;488;100;26,3;73,7;0,6;73,1;480;110;370;:;369;100;22,9;77,1;:;76,9
47 Hordaland Vest;47;Hordaland Vest;1103;281;822;4;818;100;25,5;74,5;0,4;74,2;638;161;477;:;475;100;25,2;74,8;0,3;74,5;465;120;345;:;343;100;25,8;74,2;:;73,8
48 HAFS;48;HAFS;148;18;130;:;129;100;12,2;87,8;:;87,2;80;8;72;:;72;100;10;90;       :;90;68;10;58;:;57;100;14,7;85,3;:;83,8
49 Nordfjord;49;Nordfjord;464;144;320;:;319;100;31;69;:;68,8;263;80;183;:;183;100;30,4;69,6;       :;69,6;201;64;137;:;136;100;31,8;68,2;:;67,7
50 Sogn;50;Sogn;578;152;426;:;425;100;26,3;73,7;:;73,5;319;80;239;:;238;100;25,1;74,9;:;74,6;259;72;187;:;187;100;27,8;72,2;       :;72,2
51 Sunnfjord;51;Sunnfjord;755;236;519;:;517;100;31,3;68,7;:;68,5;397;123;274;:;273;100;31;69;:;68,8;358;113;245;:;244;100;31,6;68,4;:;68,2
52 Nordmøre;52;Nordmøre;1231;350;881;:;881;100;28,4;71,6;       :;71,6;667;190;477;:;477;100;28,5;71,5;       :;71,5;564;160;404;:;404;100;28,4;71,6;       :;71,6
53 Romsdal;53;Romsdal;1082;239;843;:;840;100;22,1;77,9;:;77,6;556;107;449;:;448;100;19,2;80,8;:;80,6;526;132;394;:;392;100;25,1;74,9;:;74,5
54 Storfjord;54;Storfjord;204;53;151;:;150;100;26;74;:;73,5;112;30;82;:;81;100;26,8;73,2;:;72,3;92;23;69;:;69;100;25;75;       :;75
55 Søre Sunnmøre;55;Søre Sunnmøre;756;272;484;:;481;100;36;64;:;63,6;403;141;262;:;259;100;35;65;:;64,3;353;131;222;:;222;100;37,1;62,9;       :;62,9
56 Ålesundregionen;56;Ålesundregionen;1206;337;869;:;867;100;27,9;72,1;:;71,9;671;192;479;:;478;100;28,6;71,4;:;71,2;535;145;390;:;389;100;27,1;72,9;:;72,7
57 Fosen;57;Fosen;438;67;371;:;371;100;15,3;84,7;       :;84,7;232;38;194;:;194;100;16,4;83,6;       :;83,6;206;29;177;:;177;100;14,1;85,9;       :;85,9
58 Hitra/Frøya;58;Hitra/Frøya;175;37;138;:;138;100;21,1;78,9;       :;78,9;94;25;69;:;69;100;26,6;73,4;       :;73,4;81;12;69;:;69;100;14,8;85,2;       :;85,2
59 Oppdal/Rennebu;59;Oppdal/Rennebu;154;66;88;:;88;100;42,9;57,1;       :;57,1;82;27;55;:;55;100;32,9;67,1;       :;67,1;72;39;33;:;33;100;54,2;45,8;       :;45,8
60 Orkdalregionen;60;Orkdalregionen;505;126;379;:;379;100;25;75;       :;75;258;67;191;:;191;100;26;74;       :;74;247;59;188;:;188;100;23,9;76,1;       :;76,1
