kommunenr.kommunenavn;kommune_nr;"Kommune
navn";tilskudd_til_kommuner.totalt;tilskudd_til_kommuner.inttilsk_1.5;tilskudd_til_kommuner.inttilsk_1;tilskudd_til_kommuner.inttilsk_2.5;tilskudd_til_kommuner.funkhem;tilskudd_til_kommuner.norsk.samf_tilsk;tilskudd_til_kommuner.em_tilsk;tilskudd_til_kommuner.barnehage_tilsk;tilskudd_til_kommuner.eldre_tilsk;tilskudd_til_kommuner.skole_tilsk
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
0101 Halden;101;Halden;6015532,00;5563000,00;2590000,00;2973000,00;0,00;0,00;369432,00;62100,00;0,00;21000,00
0104 Moss;104;Moss;29715819,00;26066000,00;7322500,00;18743500,00;622000,00;0,00;2398019,00;62100,00;138700,00;429000,00
0105 Sarpsborg;105;Sarpsborg;46163744,00;41316500,00;14280000,00;27036500,00;2082448,00;0,00;1350996,00;124200,00;412100,00;877500,00
0106 Fredrikstad;106;Fredrikstad;46094634,00;40939400,00;8365000,00;32574400,00;2408080,00;0,00;1794654,00;82800,00;0,00;869700,00
0111 Hvaler;111;Hvaler;8005646,00;5070000,00;847500,00;4222500,00;0,00;0,00;2904146,00;0,00;0,00;31500,00
0118 Aremark;118;Aremark;610500,00;600000,00;0,00;600000,00;0,00;0,00;0,00;0,00;0,00;10500,00
0119 Marker;119;Marker;1353500,00;1343000,00;400000,00;943000,00;0,00;0,00;0,00;0,00;0,00;10500,00
0121 Rømskog;121;Rømskog;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0122 Trøgstad;122;Trøgstad;5567668,00;3399000,00;600000,00;2799000,00;1510948,00;0,00;615720,00;0,00;0,00;42000,00
0123 Spydeberg;123;Spydeberg;3302144,00;3147500,00;730000,00;2417500,00;0,00;0,00;123144,00;0,00;0,00;31500,00
0124 Askim;124;Askim;7862028,00;7242500,00;1100000,00;6142500,00;0,00;0,00;451528,00;0,00;0,00;168000,00
0125 Eidsberg;125;Eidsberg;9071532,00;8503500,00;2675000,00;5828500,00;0,00;0,00;369432,00;41400,00;0,00;157200,00
0127 Skiptvet;127;Skiptvet;4082558,00;3349000,00;1080000,00;2269000,00;639958,00;0,00;0,00;0,00;0,00;93600,00
0128 Rakkestad;128;Rakkestad;5463364,00;4766500,00;0,00;4766500,00;-34356,00;0,00;615720,00;0,00;0,00;115500,00
0135 Råde;135;Råde;5813314,00;4395000,00;480000,00;3915000,00;1200970,00;0,00;123144,00;20700,00;0,00;73500,00
0136 Rygge;136;Rygge;3571752,00;2073500,00;600000,00;1473500,00;0,00;0,00;1498252,00;0,00;0,00;0,00
0137 Våler (Østfold);137;Våler (Østf.);80500,00;70000,00;0,00;70000,00;0,00;0,00;0,00;0,00;0,00;10500,00
0138 Hobøl;138;Hobøl;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0211 Vestby;211;Vestby;8640460,00;8111000,00;2770000,00;5341000,00;-27896,00;0,00;389956,00;41400,00;0,00;126000,00
0213 Ski;213;Ski;25435501,00;22395625,00;8442500,00;13953125,00;1531000,00;0,00;1005676,00;62100,00;138700,00;302400,00
0214 Ås;214;Ås;10589240,00;9289675,00;2657500,00;6632175,00;570377,00;0,00;624188,00;0,00;0,00;105000,00
0215 Frogn;215;Frogn;12114440,00;10042900,00;3882500,00;6160400,00;1270105,00;0,00;665535,00;41400,00;0,00;94500,00
0216 Nesodden;216;Nesodden;11064650,00;9556000,00;2212500,00;7343500,00;653230,00;0,00;615720,00;0,00;0,00;239700,00
0217 Oppegård;217;Oppegård;24667985,00;22872500,00;7352500,00;15520000,00;-80631,00;0,00;1256516,00;20700,00;273400,00;325500,00
0219 Bærum;219;Bærum;78043278,00;60211200,00;13902500,00;46308700,00;9943657,00;0,00;6421321,00;165600,00;273400,00;1028100,00
0220 Asker;220;Asker;46729276,00;36625900,00;10011200,00;26614700,00;5309947,00;0,00;4123829,00;0,00;134700,00;534900,00
0221 Aurskog Høland;221;Aurskog.Høland;7180200,00;7035000,00;2552500,00;4482500,00;0,00;0,00;0,00;20700,00;0,00;124500,00
0226 Sørum;226;Sørum;7670072,00;7368500,00;2610000,00;4758500,00;0,00;0,00;61572,00;103500,00;0,00;136500,00
0227 Fet;227;Fet;1950000,00;1950000,00;600000,00;1350000,00;0,00;0,00;0,00;0,00;0,00;0,00
0228 Rælingen;228;Rælingen;14545588,00;13545000,00;4887500,00;8657500,00;0,00;0,00;759388,00;20700,00;0,00;220500,00
0229 Enebakk;229;Enebakk;3555132,00;3133500,00;1232500,00;1901000,00;0,00;0,00;369432,00;20700,00;0,00;31500,00
0230 Lørenskog;230;Lørenskog;22538728,00;19179000,00;5397500,00;13781500,00;776800,00;0,00;1990828,00;0,00;277400,00;314700,00
0231 Skedsmo;231;Skedsmo;43936509,00;40324925,00;12012000,00;28312925,00;1397392,00;0,00;1271292,00;144900,00;0,00;798000,00
0233 Nittedal;233;Nittedal;7291322,00;7103750,00;1680000,00;5423750,00;0,00;0,00;61572,00;0,00;0,00;126000,00
0234 Gjerdrum;234;Gjerdrum;2715288,00;2437500,00;1150000,00;1287500,00;0,00;0,00;246288,00;0,00;0,00;31500,00
0235 Ullensaker;235;Ullensaker;13121566,00;9889400,00;1897500,00;7991900,00;1247900,00;0,00;1709066,00;0,00;138700,00;136500,00
0236 Nes (Akershus);236;Nes (Ak.);15448309,00;13655000,00;4347500,00;9307500,00;0,00;0,00;1455709,00;20700,00;138700,00;178200,00
0237 Eidsvoll;237;Eidsvoll;7157888,00;6268000,00;0,00;6268000,00;640744,00;0,00;123144,00;0,00;0,00;126000,00
0238 Nannestad;238;Nannestad;5152900,00;4920000,00;2325000,00;2595000,00;0,00;0,00;0,00;20700,00;138700,00;73500,00
0239 Hurdal;239;Hurdal;2053864,00;1315000,00;0,00;1315000,00;0,00;0,00;738864,00;0,00;0,00;0,00
0301 Oslo;301;Oslo kommune;432915367,00;390271188,00;116689000,00;273582188,00;9040709,00;0,00;26050170,00;972900,00;1198900,00;5381500,00
0402 Kongsvinger;402;Kongsvinger;16465821,00;11908000,00;3650000,00;8258000,00;3843337,00;0,00;328384,00;165600,00;0,00;220500,00
0403 Hamar;403;Hamar;39541751,00;31733000,00;10442500,00;21290500,00;4512213,00;0,00;2555238,00;165600,00;0,00;575700,00
0412 Ringsaker;412;Ringsaker;17777872,00;16017420,00;2695920,00;13321500,00;0,00;0,00;1498252,00;20700,00;0,00;241500,00
0415 Løten;415;Løten;9344439,00;7991000,00;2670000,00;5321000,00;772951,00;0,00;246288,00;124200,00;0,00;210000,00
0417 Stange;417;Stange;24122189,00;19693700,00;6225700,00;13468000,00;2842261,00;0,00;1261628,00;62100,00;0,00;262500,00
0418 Nord.Odal;418;Nord.Odal;1044144,00;900000,00;150000,00;750000,00;0,00;0,00;123144,00;0,00;0,00;21000,00
0419 Sør.Odal;419;Sør.Odal;2344500,00;2344500,00;750000,00;1594500,00;0,00;0,00;0,00;0,00;0,00;0,00
0420 Eidskog;420;Eidskog;6019200,00;5596500,00;1432500,00;4164000,00;360000,00;0,00;0,00;20700,00;0,00;42000,00
0423 Grue;423;Grue;5447278,00;4676500,00;1740000,00;2936500,00;0,00;0,00;708078,00;20700,00;0,00;42000,00
0425 Åsnes;425;Åsnes;6455500,00;6340000,00;2270000,00;4070000,00;0,00;0,00;0,00;0,00;0,00;115500,00
0426 Våler (Hedm.);426;Våler (Hedm.);263000,00;263000,00;0,00;263000,00;0,00;0,00;0,00;0,00;0,00;0,00
0427 Elverum;427;Elverum;24230896,00;21097000,00;8167500,00;12929500,00;0,00;0,00;2484696,00;124200,00;0,00;525000,00
0428 Trysil;428;Trysil;8397644,00;8138300,00;3272000,00;4866300,00;0,00;0,00;123144,00;20700,00;0,00;115500,00
0429 Åmot;429;Åmot;1092576,00;600000,00;0,00;600000,00;0,00;0,00;492576,00;0,00;0,00;0,00
