kommunenr-kommunenavn;kommune_nr;"Kommune
navn";tilskudd_til_kommuner.totalt;tilskudd_til_kommuner.inttilsk_1-5;tilskudd_til_kommuner.inttilsk_1;tilskudd_til_kommuner.inttilsk_2-5;tilskudd_til_kommuner.funkhem;tilskudd_til_kommuner.norsk-samf_tilsk;tilskudd_til_kommuner.em_tilsk;tilskudd_til_kommuner.barnehage_tilsk;tilskudd_til_kommuner.eldre_tilsk;tilskudd_til_kommuner.skole_tilsk
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
0101 Halden;101;Halden;6505460,00;5910500,00;846500,00;5064000,00;0,00;0,00;507360,00;43600,00;0,00;44000,00
0104 Moss;104;Moss;34218253,00;29749500,00;7709500,00;22040000,00;1363913,00;0,00;2135140,00;211400,00;277700,00;480600,00
0105 Sarpsborg;105;Sarpsborg;33030599,00;29843500,00;4799500,00;25044000,00;1132539,00;0,00;1141560,00;0,00;286000,00;627000,00
0106 Fredrikstad;106;Fredrikstad;49377492,00;44241700,00;14063000,00;30178700,00;1835410,00;0,00;2418682,00;190700,00;0,00;691000,00
0111 Hvaler;111;Hvaler;7129400,00;4231500,00;448000,00;3783500,00;0,00;0,00;2853900,00;0,00;0,00;44000,00
0118 Aremark;118;Aremark;864000,00;853000,00;313000,00;540000,00;0,00;0,00;0,00;0,00;0,00;11000,00
0119 Marker;119;Marker;1812510,00;1737000,00;636500,00;1100500,00;0,00;0,00;31710,00;21800,00;0,00;22000,00
0121 Rømskog;121;Rømskog;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0122 Trøgstad;122;Trøgstad;4577160,00;3762000,00;1149500,00;2612500,00;0,00;0,00;718760,00;41400,00;0,00;55000,00
0123 Spydeberg;123;Spydeberg;4737800,00;4672000,00;1898000,00;2774000,00;0,00;0,00;0,00;21800,00;0,00;44000,00
0124 Askim;124;Askim;9309002,00;6754500,00;1228000,00;5526500,00;1597300,00;0,00;771302,00;65400,00;0,00;120500,00
0125 Eidsberg;125;Eidsberg;7042500,00;6910500,00;1573000,00;5337500,00;0,00;0,00;0,00;0,00;0,00;132000,00
0127 Skiptvet;127;Skiptvet;3582633,00;2642500,00;769500,00;1873000,00;379145,00;0,00;484988,00;0,00;0,00;76000,00
0128 Rakkestad;128;Rakkestad;3190200,00;2490000,00;0,00;2490000,00;0,00;0,00;634200,00;0,00;0,00;66000,00
0135 Råde;135;Råde;8377559,00;7169000,00;2705500,00;4463500,00;704659,00;0,00;0,00;65400,00;286000,00;152500,00
0136 Rygge;136;Rygge;4803860,00;2042000,00;626000,00;1416000,00;880400,00;0,00;1881460,00;0,00;0,00;0,00
0137 Våler (Østfold);137;Våler (Østf.);126840,00;0,00;0,00;0,00;0,00;0,00;126840,00;0,00;0,00;0,00
0138 Hobøl;138;Hobøl;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0211 Vestby;211;Vestby;9479452,00;8501500,00;2249500,00;6252000,00;0,00;0,00;738052,00;107900,00;0,00;132000,00
0213 Ski;213;Ski;24394010,00;22100900,00;6788500,00;15312400,00;800100,00;0,00;983010,00;194000,00;0,00;316000,00
0214 Ås;214;Ås;10491456,00;8923750,00;2081000,00;6842750,00;652666,00;0,00;761040,00;0,00;0,00;154000,00
0215 Frogn;215;Frogn;10728854,00;9123000,00;1711500,00;7411500,00;0,00;0,00;1442854,00;0,00;0,00;163000,00
0216 Nesodden;216;Nesodden;16146882,00;13344500,00;4572500,00;8772000,00;439918,00;0,00;1916964,00;85000,00;0,00;360500,00
0217 Oppegård;217;Oppegård;27661660,00;25186500,00;7457000,00;17729500,00;155400,00;0,00;1458660,00;174400,00;138700,00;548000,00
0219 Bærum;219;Bærum;85033423,61;66411500,00;21697000,00;44714500,00;9625389,61;0,00;7290934,00;389100,00;286000,00;1030500,00
0220 Asker;220;Asker;43903588,00;35443000,00;8832000,00;26611000,00;2968422,00;0,00;4954866,00;64300,00;0,00;473000,00
0221 Aurskog Høland;221;Aurskog-Høland;9416354,00;7241000,00;2658000,00;4583000,00;2065554,00;0,00;0,00;21800,00;0,00;88000,00
0226 Sørum;226;Sørum;7511840,00;7133000,00;1279500,00;5853500,00;0,00;0,00;126840,00;109000,00;0,00;143000,00
0227 Fet;227;Fet;2174500,00;2174500,00;420000,00;1754500,00;0,00;0,00;0,00;0,00;0,00;0,00
0228 Rælingen;228;Rælingen;16645420,00;15247000,00;3484000,00;11763000,00;0,00;0,00;1014720,00;87200,00;0,00;296500,00
0229 Enebakk;229;Enebakk;5637340,00;5327500,00;1928000,00;3399500,00;0,00;0,00;126840,00;42500,00;0,00;140500,00
