naringsregionnr-naringsregionnavn;naringsregion_nr;"naringsregionnavn
navn";tilskudd_til_kommuner.totalt;tilskudd_til_kommuner.inttilsk_1_5;tilskudd_til_kommuner.inttilsk_1;tilskudd_til_kommuner.inttilsk_2_5;tilskudd_til_kommuner.funkhem;tilskudd_til_kommuner.norsk_samf_tilsk;tilskudd_til_kommuner.em_tilsk;tilskudd_til_kommuner.barnehage_tilsk;tilskudd_til_kommuner.eldre_tilsk;tilskudd_til_kommuner.skole_tilsk
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
01 Halden;1;Halden;15282886;10902800;3302000;7600800;731586;2937800;710700;0;0;0
02 Indre Østfold;2;Indre Østfold;55259210;32283650;9537000;22746650;828910;18511400;3495350;139900;0;0
03 Mosseregionen;3;Mosseregionen;58213028;37220200;11156000;26064200;1612912;14769200;4471416;116500;0;22800
04 Nedre Glomma;4;Nedre Glomma;125680653;89451350;27261000;62190350;1625070;23311000;10417933;349000;447400;78900
05 Akershus Vest;5;Akershus Vest;200114498;131796500;39833500;91963000;14473632;33487850;19535816;489400;152200;179100
06 Follo;6;Follo;153308350;113959200;34717000;79242200;1832450;29094000;7713200;488900;152200;68400
07 Nedre Romerike;7;Nedre Romerike;176104273;123711300;38387500;85323800;5708223;36061650;9795300;325600;456600;45600
08 Øvre Romerike;8;Øvre Romerike;80878263;57034400;22265000;34769400;786496;17938400;4123367;555600;304400;135600
09 Oslo;9;Oslo;649739586;443818600;125984000;317834600;9458095;159893300;32726791;1807400;1651200;384200
10 Fjellregionen;10;Fjellregionen;41665084;31216800;9656000;21560800;0;5509100;4601384;185600;152200;0
11 Glåmdal;11;Glåmdal;65683009;33638800;10689000;22949800;1439484;28506400;1701325;210600;152200;34200
12 Hamarregionen;12;Hamarregionen;130726678;87892900;23760000;64132900;8881712;25529700;7885866;372900;152200;11400
13 Sør Østerdal;13;Sør Østerdal;76206700;46596050;11890000;34706050;643000;22396500;6257250;138900;152200;22800
14 Gjøvikregionen;14;Gjøvikregionen;119557297;80989150;24464000;56525150;7808189;22977200;6793458;536700;304400;148200
15 Hadeland;15;Hadeland;73891701,52;61367000;20856000;40511000;754901,52;9100200;2224800;140400;304400;0
16 Lillehammerregionen;16;Lillehammerregionen;82511432;60409900;22011000;38398900;11217482;7087200;3217250;393200;152200;34200
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;21212525;15563800;6659000;8904800;0;5189400;218125;207000;0;34200
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;51181717;35518000;11366400;24151600;0;14168900;1319617;163800;0;11400
19 Valdres;19;Valdres;38344000;22328000;7870000;14458000;0;15578500;185400;93100;147600;11400
20 Drammensregionen;20;Drammensregionen;252295668;187528850;55842500;131686350;8469002;42300400;12180516;1280500;456600;79800
21 Hallingdal;21;Hallingdal;46489094;28157300;9039500;19117800;1457969;15917800;403525;207500;299800;45200
22 Kongsberg/Numedal;22;Kongsberg/Numedal;67252470;48558800;12299000;36259800;2567995;13641300;2069475;232500;147600;34800
23 Midt-Buskerud;23;Midt-Buskerud;28921517;20120200;6580000;13540200;588200;5480900;2617417;69200;0;45600
24 Ringerike/Hole;24;Ringerike/Hole;32221800;24233500;6575000;17658500;0;7268300;556200;163800;0;0
25 Tønsbergregionen;25;Tønsbergregionen;156718795,8;103570650;32671800;70898850;4015170,8;31952400;16123475;593900;304400;158800
26 Sandefjord/Larvik;26;Sandefjord/Larvik;87592537;55113800;15455000;39658800;6904070;16733800;8044867;187200;608800;0
27 Grenland;27;Grenland;254234318;185491850;51988000;133503850;13595251;37516800;15954417;1025600;456600;193800
28 Midt-Telemark;28;Midt-Telemark;47605732;30950200;9428000;21522200;6389332;8202600;1854000;209600;0;0
29 Øst-Telemark;29;Øst-Telemark;64991217;44870600;16102000;28768600;2477100;10259500;6881617;163800;304400;34200
30 Vest-Telemark;30;Vest-Telemark;19364292;13758200;6975000;6783200;856792;4410400;0;186700;152200;0
31 Setesdal;31;Setesdal;17223400;13829400;6696000;7133400;0;2883300;370800;139900;0;0
32 Arendalregionen;32;Arendalregionen;181297468;126119000;40756700;85362300;18225402;24460600;11767466;397800;304400;22800
33 Lister;33;Lister;81046158;55322000;18868000;36454000;960000;23188600;1003358;256400;304400;11400
34 Mandalsregionen;34;Mandalsregionen;71219714;45515500;14489000;31026500;7873724;14626900;2818790;301000;0;83800
35 Kristiansandregionen;35;Kristiansandregionen;291979887;214583600;80738000;133845600;21814450;40308400;12931837;1253100;908600;179900
36 Dalane;36;Dalane;45353950;34025600;13642000;20383600;165100;8858500;2023950;280800;0;0
37 Haugesundregionen;37;Haugesundregionen;128459605;95193900;25540000;69653900;6697805;24951200;927000;373900;304400;11400
38 Ryfylke;38;Ryfylke;49530131;35455800;12347000;23108800;2696481;10508700;602550;209600;0;57000
39 Stavangerregionen;39;Stavangerregionen;318064794;216651250;67915500;148735750;7695680;74790800;16978564;1073900;761000;113600
40 Bergen;40;Bergen;355655913;272433463;85230500;187202963;0;60443700;20981100;997300;604200;196150
41 Bjørnefjorden;41;Bjørnefjorden;13092300;9032600;3604000;5428600;0;3966600;0;93100;0;0
42 Hardanger;42;Hardanger;52875052;37271900;15724800;21547100;1530452;12734000;927000;190800;152200;68700
43 Voss;43;Voss;31521650;23600400;11878000;11722400;0;7032900;726150;139400;0;22800
44 Nordhordland;44;Nordhordland;32867500;24917400;11570000;13347400;262400;6264950;1282350;140400;0;0
45 Osterfjorden;45;Osterfjorden;10831150;7682000;1973000;5709000;0;3079400;46350;23400;0;0
46 Sunnhordland;46;Sunnhordland;73677832;52865200;18348000;34517200;708682;17277700;2302050;315000;152200;57000
47 Hordaland Vest;47;Hordaland Vest;68241950;53248700;18096000;35152700;253000;12424400;1931250;327600;0;57000
48 HAFS;48;HAFS;7884400;4776600;3234000;1542600;0;2967400;0;140400;0;0
49 Nordfjord;49;Nordfjord;59359550;43377600;15558000;27819600;0;12227200;3229050;514300;0;11400
50 Sogn;50;Sogn;73058800;50263600;17920000;32343600;0;22180600;370800;209600;0;34200
51 Sunnfjord;51;Sunnfjord;73281369;52443200;15030000;37413200;489869;18409700;1297800;302200;304400;34200
52 Nordmøre;52;Nordmøre;132431234;96819100;37054000;59765100;1882634;29814300;2410200;812000;590400;102600
53 Romsdal;53;Romsdal;101687565;70899700;29297000;41602700;3553190;21166800;5053975;488900;456600;68400
54 Storfjord;54;Storfjord;21924400;16472700;7159500;9313200;0;5172600;0;115500;152200;11400
55 Søre Sunnmøre;55;Søre Sunnmøre;101909155;66156291;21124691;45031600;3815040;23424700;8035824;443100;0;34200
56 Ålesundregionen;56;Ålesundregionen;82350304;56603550;17353000;39250550;650054;18539500;6241800;140400;152200;22800
57 Fosen;57;Fosen;27174500;20368000;10539000;9829000;0;6391000;185400;138900;0;91200
58 Hitra/Frøya;58;Hitra/Frøya;9380300;4533000;2250000;2283000;0;4847300;0;0;0;0
59 Oppdal/Rennebu;59;Oppdal/Rennebu;20207500;17328400;7759000;9569400;0;2682000;0;185700;0;11400
60 Orkdalregionen;60;Orkdalregionen;30880758;22576350;8481000;14095350;0;7944300;196308;117000;0;46800
61 Trondheimsregionen;61;Trondheimsregionen;328426980;240258712;68907612;171351100;24690185;45627100;15570883;1042400;913200;324500
