;ar.1986;ar.1987;ar.1988;ar.1989;ar.1990;ar.1991;ar.1992;ar.1993;ar.1994;ar.1995;ar.1996;ar.1997;ar.1998;ar.1999;ar.2000;ar.2001;ar.2002;ar.2003;ar.2004;ar.2005;ar.2006;ar.2007;ar.2008;ar.2009;ar.2010;ar.2011;ar.2012;ar.2013;ar.2014;ar.2015;ar.1986;ar.1987;ar.1988;ar.1989;ar.1990;ar.1991;ar.1992;ar.1993;ar.1994;ar.1995;ar.1996;ar.1997;ar.1998;ar.1999;ar.2000;ar.2001;ar.2002;ar.2003;ar.2004;ar.2005;ar.2006;ar.2007;ar.2008;ar.2009;ar.2010;ar.2011;ar.2012;ar.2013;ar.2014;ar.2015;ar.1986;ar.1987;ar.1988;ar.1989;ar.1990;ar.1991;ar.1992;ar.1993;ar.1994;ar.1995;ar.1996;ar.1997;ar.1998;ar.1999;ar.2000;ar.2001;ar.2002;ar.2003;ar.2004;ar.2005;ar.2006;ar.2007;ar.2008;ar.2009;ar.2010;ar.2011;ar.2012;ar.2013;ar.2014;ar.2015;ar.1986;ar.1987;ar.1988;ar.1989;ar.1990;ar.1991;ar.1992;ar.1993;ar.1994;ar.1995;ar.1996;ar.1997;ar.1998;ar.1999;ar.2000;ar.2001;ar.2002;ar.2003;ar.2004;ar.2005;ar.2006;ar.2007;ar.2008;ar.2009;ar.2010;ar.2011;ar.2012;ar.2013;ar.2014;ar.2015;ar.1986;ar.1987;ar.1988;ar.1989;ar.1990;ar.1991;ar.1992;ar.1993;ar.1994;ar.1995;ar.1996;ar.1997;ar.1998;ar.1999;ar.2000;ar.2001;ar.2002;ar.2003;ar.2004;ar.2005;ar.2006;ar.2007;ar.2008;ar.2009;ar.2010;ar.2011;ar.2012;ar.2013;ar.2014;ar.2015
;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.bef_u_innv_og_norskf
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0101 Halden;25844;25807;25848;25841;25816;25852;25831;25896;25908;25953;26021;26162;26417;26523;26733;27133;27204;27438;27464;27582;27722;27835;28092;28389;28776;29220;29543;29880;30132;30328;866;863;883;890;963;968;1037;1096;1082;1132;1172;1210;1282;1413;1527;1643;1643;1703;1723;1791;1900;1954;2037;2166;2294;2487;2670;2839;2985;3096;24978;24944;24965;24951;24853;24884;24794;24800;24826;24821;24849;24952;25135;25110;25206;25490;25561;25735;25741;25791;25822;25881;26055;26223;26482;26733;26873;27041;27147;27232;92;96;101;106;122;115;119;126;139;155;162;183;201;223;254;291;315;339;363;401;418;449;490;533;562;608;642;713;786;812;24886;24848;24864;24845;24731;24769;24675;24674;24687;24666;24687;24769;24934;24887;24952;25199;25246;25396;25378;25390;25404;25432;25565;25690;25920;26125;26231;26328;26361;26420
0102 Sarpsborg (-1991);11878;11859;11757;11886;11782;11826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;407;404;448;484;486;499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11471;11455;11309;11402;11296;11327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;46;46;49;51;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11426;11409;11263;11353;11245;11267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0103 Fredrikstad (-1993);26838;26664;26479;26525;26527;26513;26436;26539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;812;807;835;935;939;879;885;906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26026;25857;25644;25590;25588;25634;25551;25633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;65;74;82;83;81;90;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25964;25792;25570;25508;25505;25553;25461;25538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0104 Moss;24548;24668;24747;24720;24657;24725;24805;25013;25071;25239;25358;25524;25860;26242;26633;27143;27338;27534;27732;28040;28182;28633;29073;29588;30030;30265;30723;30988;31308;31802;1153;1246;1344;1432;1474;1486;1507;1490;1467;1550;1603;1642;1740;1787;1924;2023;2144;2247;2295;2441;2596;2754;3024;3300;3579;3788;4067;4349;4568;4831;23395;23422;23403;23288;23183;23239;23298;23523;23604;23689;23755;23882;24120;24455;24709;25120;25194;25287;25437;25599;25586;25879;26049;26288;26451;26477;26656;26639;26740;26971;168;198;237;254;280;312;330;342;360;378;426;446;478;519;554;600;631;641;674;722;770;813;865;924;991;1021;1092;1147;1230;1313;23227;23224;23166;23034;22903;22927;22968;23181;23244;23311;23329;23436;23642;23936;24155;24520;24563;24646;24763;24877;24816;25066;25184;25364;25460;25456;25564;25492;25510;25658
0105 Sarpsborg;0;0;0;0;0;0;46611;46543;46381;46449;46424;46440;46692;47122;47447;47993;48555;49044;49423;49753;50115;50593;51053;51723;52159;52805;53333;53696;54059;54192;0;0;0;0;0;0;1410;1431;1417;1484;1532;1596;1715;1906;2034;2237;2446;2788;3083;3331;3642;3990;4469;5002;5336;5762;6178;6573;6918;7084;0;0;0;0;0;0;45201;45112;44964;44965;44892;44844;44977;45216;45413;45756;46109;46256;46340;46422;46473;46603;46584;46721;46823;47043;47155;47123;47141;47108;0;0;0;0;0;0;176;190;193;215;236;259;288;313;345;385;440;480;562;640;732;805;899;1029;1180;1328;1447;1612;1747;1887;0;0;0;0;0;0;45025;44922;44771;44750;44656;44585;44689;44903;45068;45371;45669;45776;45778;45782;45741;45798;45685;45692;45643;45715;45708;45511;45394;45221
0106 Fredrikstad;0;0;0;0;0;0;0;0;64843;65214;65711;66034;66746;67415;67761;68143;68505;69288;69867;70418;70791;71297;71976;72760;73638;74579;75583;76807;77591;78159;0;0;0;0;0;0;0;0;1835;1996;2154;2297;2647;2966;3173;3379;3623;4031;4390;4689;5072;5482;5998;6551;7042;7613;8366;9039;9402;9700;0;0;0;0;0;0;0;0;63008;63218;63557;63737;64099;64449;64588;64764;64882;65257;65477;65729;65719;65815;65978;66209;66596;66966;67217;67768;68189;68459;0;0;0;0;0;0;0;0;214;232;278;312;349;374;411;459;514;608;713;834;965;1081;1206;1349;1512;1675;1807;1978;2175;2356;0;0;0;0;0;0;0;0;62794;62986;63279;63425;63750;64075;64177;64305;64368;64649;64764;64895;64754;64734;64772;64860;65084;65291;65410;65790;66014;66103
0111 Hvaler;2921;2968;3090;3181;3213;3222;3266;3273;3364;3407;3430;3462;3460;3487;3494;3504;3588;3617;3694;3773;3821;3880;3961;3998;4085;4160;4206;4284;4386;4480;58;53;58;55;58;59;60;60;68;67;77;75;79;74;72;70;89;92;98;104;110;102;123;130;147;172;191;209;234;250;2863;2915;3032;3126;3155;3163;3206;3213;3296;3340;3353;3387;3381;3413;3422;3434;3499;3525;3596;3669;3711;3778;3838;3868;3938;3988;4015;4075;4152;4230;4;4;4;7;4;7;7;4;6;4;3;8;5;3;4;3;2;4;10;11;11;6;11;8;14;12;16;15;15;23;2859;2911;3028;3119;3151;3156;3199;3209;3290;3336;3350;3379;3376;3410;3418;3431;3497;3521;3586;3658;3700;3772;3827;3860;3924;3976;3999;4060;4137;4207
0113 Borge (-1993);11466;11708;11907;11961;11923;11961;11887;11959;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;208;249;240;253;257;266;245;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11258;11459;11667;11708;11666;11695;11642;11704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;32;31;28;28;34;34;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11229;11427;11636;11680;11638;11661;11608;11665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
